Date, Close/Last, Volume, Open, High, Low
03/24/2021, $14.85, 179761, $14.94, $15.0187, $14.67
03/23/2021, $15.02, 273387, $14.86, $15.13, $14.75
03/22/2021, $14.87, 188110, $14.8, $14.99, $14.75
03/19/2021, $14.88, 223372, $14.75, $14.93, $14.31
03/18/2021, $14.76, 265115, $15.06, $15.22, $14.75
03/17/2021, $15.32, 188007, $15.4, $15.4, $15.21
03/16/2021, $15.28, 116140, $15.41, $15.41, $15.22
03/15/2021, $15.38, 159419, $14.97, $15.41, $14.9567
03/12/2021, $14.97, 142908, $15.14, $15.16, $14.97
03/11/2021, $15.21, 147059, $15.35, $15.38, $15
03/10/2021, $15.29, 203836, $14.73, $15.34, $14.69
03/09/2021, $14.69, 351998, $14.64, $14.77, $14.44
03/08/2021, $14.64, 496331, $15.25, $15.2758, $14.45
03/05/2021, $15.13, 801719, $14.5, $15.29, $14.29
03/04/2021, $15.3, 409075, $15.3, $15.6, $15.26
03/03/2021, $15.28, 417237, $15.07, $15.65, $14.8
03/02/2021, $15.07, 772841, $16.33, $16.4, $15.05
03/01/2021, $16.42, 839785, $16.75, $16.89, $16.3
02/26/2021, $17.32, 106350, $17.28, $17.32, $17.15
02/25/2021, $17.16, 130226, $17, $17.26, $17
02/24/2021, $17.07, 150673, $16.84, $17.1, $16.79
02/23/2021, $16.83, 81871, $16.7, $16.84, $16.6716
02/22/2021, $16.88, 122681, $16.95, $16.95, $16.6301
02/19/2021, $16.84, 207225, $16.8, $17, $16.7
02/18/2021, $16.77, 269142, $16.75, $17.0609, $16.7
02/17/2021, $17.35, 143346, $17.4, $17.47, $17.08
02/16/2021, $17.35, 119050, $17.18, $17.4188, $17
02/12/2021, $17.06, 70519, $17, $17.16, $16.985
02/11/2021, $16.98, 86305, $16.91, $17.03, $16.9
02/10/2021, $16.95, 134489, $16.99, $17.1, $16.82
02/09/2021, $16.95, 110931, $16.81, $16.99, $16.81
02/08/2021, $16.82, 124359, $16.9, $17, $16.78
02/05/2021, $16.83, 76252, $16.68, $16.85, $16.68
02/04/2021, $16.67, 93035, $16.73, $16.77, $16.57
02/03/2021, $16.56, 101902, $16.61, $16.6999, $16.48
02/02/2021, $16.55, 106313, $16.69, $16.87, $16.55
02/01/2021, $16.59, 93180, $16.56, $16.6, $16.4
01/29/2021, $16.42, 131967, $16.71, $16.76, $16.37
01/28/2021, $16.58, 113601, $16.5, $16.7892, $16.5
01/27/2021, $16.5, 107087, $16.71, $16.74, $16.5
01/26/2021, $16.82, 118880, $16.88, $16.98, $16.75
01/25/2021, $16.84, 129423, $17.1, $17.18, $16.8
01/22/2021, $17, 247390, $17.3, $17.3, $16.82
01/21/2021, $17.31, 243764, $17.9, $17.92, $17.22
01/20/2021, $17.81, 309709, $17.4, $17.92, $17.3143
01/19/2021, $17.3, 320100, $16.84, $17.4399, $16.75
01/15/2021, $16.65, 133913, $16.65, $16.67, $16.42
01/14/2021, $16.58, 168197, $16.75, $16.7968, $16.52
01/13/2021, $16.67, 168578, $16.52, $16.67, $16.52
01/12/2021, $16.48, 291044, $16.37, $16.57, $16.22
01/11/2021, $16.2, 271958, $16.06, $16.2108, $16
01/08/2021, $16.17, 124613, $16.15, $16.25, $16.1
01/07/2021, $16.12, 77083, $16.09, $16.19, $16.0279
01/06/2021, $16.01, 109108, $15.75, $16.12, $15.75
01/05/2021, $15.79, 99116, $15.83, $15.9035, $15.72
01/04/2021, $15.78, 123997, $15.85, $15.99, $15.6202
12/31/2020, $15.83, 94919, $15.79, $15.83, $15.64
12/30/2020, $15.72, 88419, $15.73, $15.73, $15.61
12/29/2020, $15.66, 103279, $15.71, $15.87, $15.63
12/28/2020, $15.71, 87837, $15.77, $15.85, $15.64
12/24/2020, $15.7607, 44056, $15.8, $15.86, $15.7
12/23/2020, $15.78, 92133, $15.66, $15.9, $15.61
12/22/2020, $15.7, 92514, $15.64, $15.79, $15.61
12/21/2020, $15.73, 180928, $16, $16, $15.5008
12/18/2020, $16.07, 67806, $16.04, $16.1, $15.95
12/17/2020, $16.01, 105341, $16, $16.0457, $15.86
12/16/2020, $16.05, 114270, $15.83, $16.07, $15.79
12/15/2020, $15.8, 98807, $15.75, $15.89, $15.66
12/14/2020, $15.64, 118291, $15.9, $15.9, $15.6
12/11/2020, $15.63, 53858, $15.69, $15.77, $15.55
12/10/2020, $15.69, 87200, $15.7, $15.73, $15.5601
12/09/2020, $15.68, 113837, $15.66, $15.69, $15.5102
12/08/2020, $15.62, 94723, $15.48, $15.64, $15.4
12/07/2020, $15.48, 167031, $15.75, $15.75, $15.41
12/04/2020, $15.69, 114590, $15.7, $15.75, $15.59
12/03/2020, $15.59, 143956, $15.84, $15.845, $15.57
12/02/2020, $15.82, 121065, $15.55, $16.51, $15.55
12/01/2020, $15.63, 152159, $15.44, $15.69, $15.4301
11/30/2020, $15.42, 140769, $15.44, $15.44, $15.31
11/27/2020, $15.37, 39482, $15.26, $15.39, $15.26
11/25/2020, $15.26, 106494, $15.26, $15.27, $15.17
11/24/2020, $15.23, 136737, $15.19, $15.3, $15.1
11/23/2020, $15.17, 111254, $15.1, $15.2, $15.04
11/20/2020, $15.04, 108021, $15.19, $15.2399, $15.02
11/19/2020, $15.19, 222243, $15.36, $15.36, $15.01
11/18/2020, $15.58, 163985, $15.31, $15.6394, $15.305
11/17/2020, $15.31, 196009, $15.26, $15.5, $15.1669
11/16/2020, $15.25, 149756, $15.2, $15.32, $15.118
11/13/2020, $15.08, 88455, $14.88, $15.13, $14.88
11/12/2020, $14.81, 90550, $14.96, $14.96, $14.785
11/11/2020, $14.95, 90415, $14.98, $14.98, $14.79
11/10/2020, $14.88, 94508, $14.83, $14.9, $14.75
11/09/2020, $14.75, 118994, $15, $15, $14.7
11/06/2020, $14.59, 90439, $14.65, $14.6945, $14.58
