Date, Close/Last, Volume, Open, High, Low
01/20/2021, $0.0849, 73680, $0.0848, $0.0997, $0.0848
01/19/2021, $0.075, 30212, $0.0811, $0.085, $0.075
01/15/2021, $0.0811, 7981, $0.09, $0.09, $0.0811
01/14/2021, $0.0815, 16658, $0.0916, $0.0917, $0.0815
01/13/2021, $0.083, 72500, $0.1, $0.1, $0.0812
01/12/2021, $0.09, 35001, $0.0895, $0.0995, $0.0804
01/11/2021, $0.08, 21930, $0.08, $0.0801, $0.08
01/08/2021, $0.08, 54258, $0.0801, $0.0889, $0.079
01/07/2021, $0.081, 60131, $0.093, $0.093, $0.08
01/06/2021, $0.0784, 39835, $0.085, $0.0949, $0.0706
01/05/2021, $0.065, 2700, $0.0732, $0.0732, $0.065
01/04/2021, $0.0703, 102602, $0.09, $0.095, $0.07
12/31/2020, $0.073, 44577, $0.0745, $0.085, $0.068
12/30/2020, $0.0745, 79672, $0.0899, $0.0998, $0.061
12/29/2020, $0.0509, 186787, $0.1, $0.1, $0.0509
12/28/2020, $0.0944, 53295, $0.0942, $0.1001, $0.0825
12/24/2020, $0.0944, 1001, $0.072, $0.0944, $0.072
12/23/2020, $0.0743, 32378, $0.14, $0.14, $0.072
12/22/2020, $0.0754, 14768, $0.075, $0.0914, $0.075
12/21/2020, $0.0751, 11925, $0.0836, $0.0839, $0.0751
12/18/2020, $0.075, 11120, $0.0819, $0.082, $0.075
12/17/2020, $0.0723, 37262, $0.075, $0.0824, $0.0711
12/16/2020, $0.072, 14997, $0.0848, $0.0848, $0.0711
12/15/2020, $0.0705, 64720, $0.084, $0.095, $0.0702
12/14/2020, $0.0803, 46489, $0.0798, $0.1, $0.075
12/11/2020, $0.0764, 8010, $0.08, $0.08, $0.07
12/10/2020, $0.0823, 70000, $0.0851, $0.0979, $0.0731
12/09/2020, $0.085, 9631, $0.08, $0.088, $0.08
12/08/2020, $0.0818, 153881, $0.0676, $0.096, $0.0675
12/07/2020, $0.0678, 5612, $0.08, $0.0804, $0.0678
12/04/2020, $0.071, 7500, $0.0748, $0.0749, $0.067
12/03/2020, $0.067, 13018, $0.0702, $0.075, $0.067
12/02/2020, $0.0712, 19300, $0.082, $0.087, $0.0711
12/01/2020, $0.0713, 13600, $0.0753, $0.082, $0.071
11/30/2020, $0.0733, 24642, $0.08, $0.085, $0.0733
11/27/2020, $0.0761, 23177, $0.086, $0.086, $0.076
11/25/2020, $0.074, 108595, $0.082, $0.086, $0.074
11/24/2020, $0.073, 19950, $0.085, $0.09, $0.071
11/23/2020, $0.07, 233096, $0.09, $0.09, $0.065
11/20/2020, $0.07, 75013, $0.068, $0.09, $0.068
11/19/2020, $0.06, 142103, $0.0688, $0.075, $0.0532
11/18/2020, $0.06, 119860, $0.0492, $0.0601, $0.044
11/17/2020, $0.0411, 105793, $0.0499, $0.055, $0.0408
11/16/2020, $0.04, 143317, $0.0501, $0.0501, $0.04
11/13/2020, $0.0517, 194040, $0.0501, $0.0648, $0.0461
11/12/2020, $0.0517, 168849, $0.06, $0.071, $0.0512
11/11/2020, $0.059, 233241, $0.06, $0.09, $0.0512
11/10/2020, $0.066, 32200, $0.066, $0.07, $0.066
11/09/2020, $0.065, 1106039, $0.0699, $0.085, $0.0456
11/06/2020, $0.0699, 136129, $0.07, $0.1199, $0.0614
11/05/2020, $0.0753, 367412, $0.07, $0.1775, $0.05
11/04/2020, $0.078, 22417, $0.061, $0.078, $0.05
