Date, Close/Last, Volume, Open, High, Low
03/24/2021, $9.99, 38145, $10, $10.05, $9.86
03/23/2021, $10.1, 5900, $10.13, $10.2, $10.1
03/22/2021, $10.2501, N/A, $10.2501, $10.2501, $10.2501
03/19/2021, $10.2501, 673, $10.33, $10.33, $10.2501
03/18/2021, $10.32, N/A, $10.32, $10.32, $10.32
03/17/2021, $10.32, 5916, $10.11, $10.33, $10.11
03/16/2021, $10.21, 8800, $10.24, $10.31, $10.2
03/15/2021, $10.7, N/A, $10.7, $10.7, $10.7
03/12/2021, $10.7, 2457, $10.5, $10.7, $10.5
03/11/2021, $10.5498, 1000, $10.5498, $10.5498, $10.5498
03/10/2021, $10.5101, 7336, $10.5, $10.6, $10.5
03/09/2021, $10.5, 2717, $10.47, $10.5, $10.47
03/08/2021, $10.31, 250, $10.31, $10.31, $10.31
03/05/2021, $10.26, N/A, $10.26, $10.26, $10.26
03/04/2021, $10.26, 29667, $10.28, $10.491, $10.11
03/03/2021, $10.59, 20773, $10.375, $10.6, $10.27
03/02/2021, $10.58, 33343, $10.59, $10.76, $10.35
03/01/2021, $10.75, 7206, $10.6, $10.75, $10.53
02/26/2021, $10.75, 5879, $10.7, $10.75, $10.53
02/25/2021, $10.8, 3190, $11, $11.025, $10.8
02/24/2021, $11.08, 25621, $11, $11.2, $11
02/23/2021, $11.025, 9783, $11.2, $11.2, $10.86
02/22/2021, $11.24, 25141, $11.07, $11.45, $11.07
02/19/2021, $11.04, 1083, $11.134, $11.18, $10.77
02/18/2021, $11.08, 18221, $11.17, $11.2, $11.03
02/17/2021, $10.91, 139, $10.91, $10.91, $10.91
02/16/2021, $10.9, 7806, $10.91, $10.91, $10.56
02/12/2021, $11.0177, 300, $11.0177, $11.0177, $11.0177
02/11/2021, $11, 1002, $11.02, $11.02, $11
02/10/2021, $11.2, 25380, $11.1, $11.24, $11.045
02/09/2021, $10.98, 86446, $10.6501, $11.1, $10.6501
02/08/2021, $10.875, 7832, $10.93, $10.95, $10.8
02/05/2021, $10.95, 3000, $10.92, $10.95, $10.92
02/04/2021, $10.83, 9602, $10.83, $10.8499, $10.8
02/03/2021, $10.65, 12995, $10.62, $10.7, $10.6
02/02/2021, $10.68, 11239, $10.83, $10.84, $10.58
02/01/2021, $10.5, N/A, $10.5, $10.5, $10.5
01/29/2021, $10.5, 5015, $10.6, $10.6, $10.5
01/28/2021, $10.5, 12367, $10.7, $10.7, $10.5
01/27/2021, $10.7, 8072, $10.81, $10.81, $10.7
01/26/2021, $10.85, 26613, $10.86, $10.9216, $10.76
01/25/2021, $10.85, 3681, $10.85, $10.8802, $10.72
01/22/2021, $10.95, 32599, $10.83, $10.95, $10.83
01/21/2021, $10.845, 19407, $10.89, $10.9, $10.75
01/20/2021, $10.79, 10554, $10.89, $10.89, $10.69
01/19/2021, $10.69, 22494, $10.88, $10.9, $10.63
01/15/2021, $10.8, 36725, $10.75, $10.829, $10.6401
01/14/2021, $10.7365, N/A, $10.7365, $10.7365, $10.7365
01/13/2021, $10.7365, 21066, $10.6208, $10.785, $10.6201
01/12/2021, $10.6201, 12012, $10.6, $10.697, $10.6
01/11/2021, $10.52, 57818, $10.6, $10.6, $10.45
