Date, Close/Last, Volume, Open, High, Low
03/24/2021, $2.04, 1894078, $2.117, $2.19, $2.01
03/23/2021, $2.07, 3060889, $2.27, $2.2875, $2.02
03/22/2021, $2.26, 1669262, $2.42, $2.43, $2.24
03/19/2021, $2.37, 1659792, $2.41, $2.44, $2.25
03/18/2021, $2.38, 2790990, $2.55, $2.62, $2.34
03/17/2021, $2.57, 1753209, $2.54, $2.59, $2.43
03/16/2021, $2.56, 4559384, $2.73, $2.78, $2.43
03/15/2021, $2.59, 2742048, $2.629, $2.68, $2.43
03/12/2021, $2.49, 3785809, $2.41, $2.58, $2.37
03/11/2021, $2.41, 4350871, $2.54, $2.65, $2.38
03/10/2021, $2.44, 2751005, $2.45, $2.45, $2.22
03/09/2021, $2.38, 2352039, $2.21, $2.3989, $2.1042
03/08/2021, $2.13, 2039613, $2.09, $2.19, $2.06
03/05/2021, $2.04, 3503740, $2.1, $2.15, $1.77
03/04/2021, $2.08, 3517813, $2.32, $2.32, $1.98
03/03/2021, $2.32, 1835642, $2.51, $2.55, $2.3
03/02/2021, $2.48, 2548110, $2.4, $2.6, $2.37
03/01/2021, $2.37, 2237572, $2.44, $2.55, $2.35
02/26/2021, $2.35, 2957737, $2.39, $2.4786, $2.15
02/25/2021, $2.43, 2875684, $2.658, $2.7, $2.38
02/24/2021, $2.61, 2529581, $2.65, $2.75, $2.58
02/23/2021, $2.54, 5137745, $2.71, $2.7131, $2.21
02/22/2021, $2.88, 4101566, $2.875, $3.2, $2.86
02/19/2021, $2.92, 4726167, $2.822, $3.1, $2.82
02/18/2021, $2.68, 5505015, $3.1, $3.15, $2.68
02/17/2021, $3.18, 7556043, $3.415, $3.44, $2.87
02/16/2021, $3.69, 16365190, $3.34, $3.79, $3.1
02/12/2021, $3.67, 55900960, $2.62, $3.89, $2.56
02/11/2021, $2.55, 7532815, $2.64, $2.79, $2.47
02/10/2021, $2.53, 11134140, $2.84, $2.86, $2.23
02/09/2021, $2.74, 10944870, $2.39, $2.8, $2.3
02/08/2021, $2.31, 6510622, $2.15, $2.35, $2.0716
02/05/2021, $2.12, 4162654, $2.22, $2.23, $2.03
02/04/2021, $2.16, 3786428, $2.13, $2.17, $2.06
02/03/2021, $2.1, 4662582, $2.082, $2.14, $2.02
02/02/2021, $2, 3862622, $2.03, $2.06, $1.88
02/01/2021, $2.08, 5807823, $2.1, $2.19, $1.92
01/29/2021, $2.1, 34545350, $1.87, $2.75, $1.77
01/28/2021, $1.79, 5927217, $1.86, $1.92, $1.75
01/27/2021, $1.65, 7562747, $1.765, $1.8797, $1.58
01/26/2021, $1.94, 7152681, $2.06, $2.07, $1.815
01/25/2021, $1.97, 12344650, $1.68, $2.06, $1.59
01/22/2021, $1.64, 2310170, $1.65, $1.65, $1.57
01/21/2021, $1.64, 6457633, $1.58, $1.74, $1.5
01/20/2021, $1.55, 2770149, $1.62, $1.62, $1.48
01/19/2021, $1.58, 2739943, $1.57, $1.63, $1.54
01/15/2021, $1.51, 2385881, $1.61, $1.61, $1.5
01/14/2021, $1.61, 4319035, $1.62, $1.6786, $1.51
01/13/2021, $1.59, 5419101, $1.75, $1.78, $1.55
01/12/2021, $1.72, 9606556, $1.66, $1.94, $1.65
01/11/2021, $1.65, 11531550, $1.45, $1.78, $1.42
01/08/2021, $1.42, 4708075, $1.48, $1.51, $1.38
01/07/2021, $1.43, 6104425, $1.32, $1.49, $1.3
01/06/2021, $1.29, 3006646, $1.35, $1.37, $1.25
01/05/2021, $1.33, 7628156, $1.24, $1.37, $1.21
01/04/2021, $1.23, 2123729, $1.25, $1.25, $1.16
12/31/2020, $1.21, 6904158, $1.22, $1.35, $1.21
12/30/2020, $1.2, 2513356, $1.22, $1.25, $1.19
12/29/2020, $1.19, 1996786, $1.21, $1.21, $1.16
12/28/2020, $1.21, 2366694, $1.251, $1.28, $1.2
12/24/2020, $1.24, 1707590, $1.27, $1.2811, $1.22
12/23/2020, $1.23, 3274262, $1.18, $1.28, $1.16
12/22/2020, $1.18, 2112186, $1.2, $1.2, $1.16
12/21/2020, $1.19, 2014100, $1.2, $1.205, $1.16
12/18/2020, $1.2, 1728386, $1.25, $1.25, $1.19
12/17/2020, $1.23, 1744216, $1.26, $1.26, $1.22
12/16/2020, $1.27, 1720867, $1.32, $1.3299, $1.24
12/15/2020, $1.29, 1538523, $1.267, $1.31, $1.24
12/14/2020, $1.28, 2379955, $1.34, $1.35, $1.26
12/11/2020, $1.315, 1917320, $1.35, $1.37, $1.29
12/10/2020, $1.38, 4348460, $1.23, $1.39, $1.2
12/09/2020, $1.22, 6920321, $1.466, $1.47, $1.21
12/08/2020, $1.37, 4960460, $1.51, $1.59, $1.32
12/07/2020, $1.49, 8994697, $1.52, $1.62, $1.39
12/04/2020, $1.65, 31250900, $1.19, $1.72, $1.19
12/03/2020, $1.19, 2484796, $1.162, $1.24, $1.16
12/02/2020, $1.16, 1431099, $1.13, $1.17, $1.12
12/01/2020, $1.12, 2666540, $1.168, $1.2, $1.11
11/30/2020, $1.17, 1920777, $1.21, $1.22, $1.16
11/27/2020, $1.22, 1356462, $1.24, $1.27, $1.18
11/25/2020, $1.24, 2268083, $1.2, $1.24, $1.16
11/24/2020, $1.19, 8073257, $1.239, $1.34, $1.16
11/23/2020, $1.2, 3629189, $1.151, $1.25, $1.13
11/20/2020, $1.12, 1572758, $1.11, $1.16, $1.1
11/19/2020, $1.12, 1600030, $1.12, $1.1216, $1.08
11/18/2020, $1.11, 1957915, $1.13, $1.14, $1.105
11/17/2020, $1.13, 2109228, $1.1, $1.13, $1.08
11/16/2020, $1.11, 1578151, $1.15, $1.15, $1.09
11/13/2020, $1.1, 2062146, $1.12, $1.13, $1.08
11/12/2020, $1.14, 5491346, $1.18, $1.23, $1.1
11/11/2020, $1.13, 3914698, $1.18, $1.18, $1.1048
11/10/2020, $1.15, 3090111, $1.09, $1.18, $1.08
11/09/2020, $1.08, 2974810, $1.078, $1.12, $1.05
11/06/2020, $1.05, 1882185, $1.03, $1.05, $1.01
11/05/2020, $1.04, 1145617, $1.01, $1.05, $1.01
11/04/2020, $1.02, 1005607, $1.05, $1.05, $1
11/03/2020, $1.04, 1251546, $1.02, $1.06, $1.02
11/02/2020, $1.02, 1009879, $1.03, $1.04, $1.005
10/30/2020, $1.02, 1835620, $1.04, $1.05, $1
10/29/2020, $1.04, 1464978, $1.07, $1.07, $1.02
10/28/2020, $1.06, 3172767, $1.03, $1.0702, $1
10/27/2020, $1.03, 1182055, $1.08, $1.08, $1.03
10/26/2020, $1.06, 1817791, $1.11, $1.11, $1.04
10/23/2020, $1.11, 1278778, $1.14, $1.17, $1.09
10/22/2020, $1.13, 5626682, $1.07, $1.2, $1.07
10/21/2020, $1.07, 1347671, $1.11, $1.12, $1.07
10/20/2020, $1.11, 1060075, $1.14, $1.15, $1.1
10/19/2020, $1.13, 1066720, $1.14, $1.16, $1.12
10/16/2020, $1.13, 1245873, $1.19, $1.19, $1.12
10/15/2020, $1.17, 1670891, $1.15, $1.195, $1.11
10/14/2020, $1.16, 1327939, $1.21, $1.21, $1.15
10/13/2020, $1.18, 1728978, $1.25, $1.25, $1.17
10/12/2020, $1.25, 3452894, $1.3, $1.31, $1.21
10/09/2020, $1.25, 2982967, $1.2, $1.28, $1.18
10/08/2020, $1.19, 2503111, $1.24, $1.25, $1.16
10/07/2020, $1.22, 3389111, $1.2, $1.29, $1.18
10/06/2020, $1.18, 4695224, $1.14, $1.26, $1.1256
10/05/2020, $1.15, 2136348, $1.15, $1.18, $1.11
10/02/2020, $1.13, 1230091, $1.1, $1.15, $1.07
10/01/2020, $1.14, 2554284, $1.1, $1.17, $1.06
09/30/2020, $1.08, 1540513, $1.09, $1.1, $1.06
