Date, Close/Last, Volume, Open, High, Low
01/20/2021, $25.42, 131549, $25.12, $25.63, $24.95
01/19/2021, $25.37, 124433, $25.75, $25.75, $25.12
01/15/2021, $25.42, 125112, $25.43, $25.51, $25.1
01/14/2021, $25.81, 124101, $25.5, $25.935, $25.3701
01/13/2021, $25.28, 110061, $25.89, $25.89, $25.06
01/12/2021, $26.03, 159025, $25.63, $26.35, $25.35
01/11/2021, $25.48, 210153, $25.04, $25.55, $25.04
01/08/2021, $25.12, 195520, $25.72, $25.72, $24.73
01/07/2021, $25.59, 230365, $25.64, $25.94, $25.23
01/06/2021, $25.37, 324755, $24.12, $25.58, $24.12
01/05/2021, $23.43, 153072, $23.04, $23.67, $22.6026
01/04/2021, $23.12, 171933, $23.48, $23.68, $21.76
12/31/2020, $23.48, 229477, $23.08, $25, $22.91
12/30/2020, $23.11, 199812, $23.07, $23.4397, $23.07
12/29/2020, $23, 168729, $23.54, $23.63, $22.85
12/28/2020, $23.85, 95181, $23.5, $23.95, $23.4
12/24/2020, $23.46, 51449, $23.34, $23.61, $22.89
12/23/2020, $23.35, 68939, $22.92, $23.38, $22.91
12/22/2020, $22.69, 128761, $23.15, $23.18, $22.6
12/21/2020, $23.16, 510436, $23.4, $23.6, $22.8
12/18/2020, $23.63, 915857, $23.46, $23.78, $23.08
12/17/2020, $23.33, 179584, $23.45, $23.65, $22.97
12/16/2020, $23.45, 125672, $23.76, $23.76, $23.07
12/15/2020, $23.59, 218438, $23.25, $23.65, $22.75
12/14/2020, $22.79, 126885, $23.26, $23.28, $22.66
12/11/2020, $22.88, 106176, $23.04, $23.24, $22.85
12/10/2020, $23.23, 107685, $23.13, $23.29, $22.3384
12/09/2020, $23.37, 138882, $23.45, $23.65, $23.14
12/08/2020, $23.19, 140894, $22.65, $23.3, $22.1356
12/07/2020, $23.19, 133429, $23.29, $23.45, $22.85
12/04/2020, $23.47, 146191, $23, $23.56, $22.6
12/03/2020, $22.75, 169953, $22.63, $22.94, $22.06
12/02/2020, $22.56, 157450, $22.1, $22.69, $21.6881
12/01/2020, $22.2, 157081, $22.06, $22.65, $21.96
11/30/2020, $21.75, 197378, $22.08, $22.15, $21.7075
11/27/2020, $22.3, 72215, $22.69, $22.84, $21.935
11/25/2020, $22.75, 115595, $22.99, $23, $22.55
11/24/2020, $23.35, 211380, $22.23, $23.41, $21.2053
11/23/2020, $21.81, 154777, $21.93, $22.211, $21.03
11/20/2020, $21.615, 139879, $21.62, $21.81, $21.285
11/19/2020, $21.96, 113598, $21.82, $22.01, $21.4
11/18/2020, $21.95, 147181, $22.47, $22.54, $21.94
11/17/2020, $22.36, 205981, $22.08, $22.38, $21.5
11/16/2020, $22.41, 253607, $21.51, $22.43, $21.44
11/13/2020, $20.72, 135281, $20.45, $20.89, $19.47
11/12/2020, $20.22, 238830, $20.41, $20.42, $19.6501
11/11/2020, $20.81, 346620, $20.99, $21.035, $20.3
11/10/2020, $21.03, 343759, $19.95, $21.09, $19.58
11/09/2020, $19.6, 462295, $18.94, $20.35, $18.94
11/06/2020, $17.57, 161312, $18.23, $18.33, $17.53
11/05/2020, $18.08, 123755, $17.65, $18.24, $17.55
11/04/2020, $17.55, 106386, $18.57, $18.57, $17.5
11/03/2020, $19.1, 199426, $18.84, $19.23, $18.7
11/02/2020, $18.45, 189674, $18.44, $18.65, $18.27
10/30/2020, $18.18, 299692, $17.98, $18.21, $17.8
10/29/2020, $17.84, 182997, $17.53, $18.05, $17.32
10/28/2020, $17.67, 136308, $17.48, $18.1699, $17.48
10/27/2020, $18.07, 196646, $18.26, $18.41, $18.04
10/26/2020, $18.36, 175846, $18.62, $18.62, $18.1102
10/23/2020, $18.86, 177595, $18.88, $19.12, $18.7201
10/22/2020, $18.81, 211990, $18.62, $18.85, $18.38
10/21/2020, $18.45, 104277, $18.18, $18.53, $18.18
10/20/2020, $18.18, 128733, $18.13, $18.47, $18.0675
10/19/2020, $17.93, 110192, $18.24, $18.7697, $17.9
10/16/2020, $18.05, 107911, $17.9, $18.25, $17.72
10/15/2020, $18.03, 131375, $17.56, $18.1, $17.52
10/14/2020, $17.74, 159094, $18.08, $18.2, $17.0288
10/13/2020, $18.09, 162813, $18.58, $18.597, $18.07
10/12/2020, $18.81, 727986, $18.2, $18.85, $18.05
10/09/2020, $18.27, 248220, $18.81, $19.38, $18.2
10/08/2020, $18.55, 244828, $18.28, $18.7, $18.08
10/07/2020, $18.19, 214876, $18.02, $18.5, $17.95
