Date, Close/Last, Volume, Open, High, Low
03/24/2021, $16.47, 1421684, $18.7, $19.05, $16.46
03/23/2021, $18.59, 985629, $20.15, $20.225, $18.36
03/22/2021, $20.53, 586006, $20.43, $20.7, $19.53
03/19/2021, $19.7, 835586, $19.1, $20.183, $19.03
03/18/2021, $19.36, 991762, $19.24, $20.0792, $18.85
03/17/2021, $19.54, 1665715, $18.5, $20.24, $18.06
03/16/2021, $19.84, 1491258, $21.61, $21.9699, $19.56
03/15/2021, $21.65, 2598895, $21, $22.63, $20.645
03/12/2021, $20.62, 2658429, $17.21, $21.18, $17.01
03/11/2021, $18.18, 2470140, $18.4, $18.9899, $17.8
03/10/2021, $17.15, 2303005, $18.5, $18.98, $16.93
03/09/2021, $17.8, 2887159, $16.86, $18.65, $16.6
03/08/2021, $16.12, 2351596, $17.75, $19.1999, $15.03
03/05/2021, $18.07, 4760376, $18.55, $19.3356, $14.68
03/04/2021, $17.72, 3777439, $21, $21.3, $17.4
03/03/2021, $21.26, 2306587, $24.2, $24.8966, $20.89
03/02/2021, $25, 1239632, $24.06, $26.37, $23.82
03/01/2021, $25, 1873836, $22.04, $25, $21.81
02/26/2021, $20.66, 1456279, $21.05, $21.34, $19.6
02/25/2021, $20.04, 2866531, $22.17, $22.95, $20
02/24/2021, $21.96, 2087298, $22.07, $22.8, $20.8
02/23/2021, $21.19, 4432367, $23.86, $23.95, $20.1
02/22/2021, $25.1, 1854108, $24.75, $26.09, $24.5
02/19/2021, $24.87, 1315975, $26, $27, $24.58
02/18/2021, $25.38, 1456848, $26.3, $26.93, $25.25
02/17/2021, $27.13, 1164437, $27.92, $28.24, $26.69
02/16/2021, $28.43, 881306, $29.32, $29.76, $27.84
02/12/2021, $29.49, 827749, $29.48, $29.79, $28.3
02/11/2021, $29.59, 1234162, $29.58, $30, $27.6
02/10/2021, $29.94, 1863415, $31.4, $32.005, $28
02/09/2021, $30.74, 2298028, $31, $34.28, $30.11
02/08/2021, $31.57, 1888765, $30.37, $32.02, $29.09
02/05/2021, $30.03, 1214350, $29.88, $31.97, $28.85
02/04/2021, $30.35, 1266635, $31.75, $32, $29.25
02/03/2021, $30.83, 2055036, $27.78, $31.32, $26.8
02/02/2021, $27.92, 1765832, $26.6, $28.35, $26.45
02/01/2021, $26.03, 1599901, $26.25, $27.17, $25.3
01/29/2021, $25.53, 1916411, $25.5, $26.27, $24.2
01/28/2021, $25.76, 2115745, $26, $26.81, $25
01/27/2021, $25.2, 5616703, $27.32, $29.22, $25
01/26/2021, $29.22, 6684045, $28.75, $30, $26.25
01/25/2021, $24.18, 2662861, $25.71, $26, $23
01/22/2021, $26.1, 1653380, $25, $26.22, $24.66
01/21/2021, $25.03, 1754828, $25.68, $27.43, $24.94
01/20/2021, $26.14, 2330036, $27.22, $30.19, $25.72
01/19/2021, $27.4, 2343084, $26, $27.4, $25.24
01/15/2021, $24.63, 2926856, $23.76, $26.99, $23.03
01/14/2021, $22.74, 2148402, $23.5, $24.37, $22.33
01/13/2021, $22.65, 2661039, $24.7, $24.9356, $22.44
01/12/2021, $24.34, 1071832, $24.3, $25.3, $23.81
01/11/2021, $23.98, 1032246, $24.97, $25.74, $23.85
01/08/2021, $24.17, 1795866, $26.1, $26.44, $23.79
01/07/2021, $26.58, 1288685, $27.79, $28.6, $26
01/06/2021, $26.98, 1733000, $26.4, $27.6, $25.93
01/05/2021, $24.75, 1541535, $23.85, $25.24, $23.21
01/04/2021, $24.25, 1858593, $27.45, $27.45, $23.3738
12/31/2020, $25.87, 1124336, $27.44, $27.55, $25
12/30/2020, $27.25, 1247798, $27.4, $28.55, $26.5
12/29/2020, $27.33, 1703089, $29.44, $29.55, $25.3
12/28/2020, $28.95, 2058363, $32.7, $33.3, $28.22
12/24/2020, $30.02, 1266572, $30.32, $31.51, $29.1701
12/23/2020, $30.31, 3425929, $32.82, $33.88, $28.51
12/22/2020, $29.85, 2823020, $26.95, $29.85, $26.68
12/21/2020, $25.75, 1476081, $24.85, $26.0475, $24.71
12/18/2020, $25, 3969182, $24.3, $26.3, $23.58
12/17/2020, $23.75, 3384993, $20.1, $24.5, $20.08
12/16/2020, $20.58, 2797227, $19.4, $20.58, $19.1
12/15/2020, $19, 3029316, $21.77, $22.42, $18.81
12/14/2020, $21.03, 4985675, $25.8, $26, $19.7
12/11/2020, $24, 14346220, $27.29, $27.66, $21.77
12/10/2020, $11.1, 3449166, $11, $11.79, $10.91
12/09/2020, $11.0221, 18080, $10.55, $11.5, $10.55
12/08/2020, $10.6, 30488, $10.65, $11.12, $10.2
12/07/2020, $10.6, 20675, $11, $11, $10.3551
12/04/2020, $10.65, 28752, $10.45, $10.9087, $10
12/03/2020, $10.45, 1282, $10.2, $10.86, $10.2
12/02/2020, $10.195, N/A, $10.195, $10.195, $10.195
12/01/2020, $10.195, 52069, $9.9, $10.22, $9.88
11/30/2020, $9.76, N/A, $9.76, $9.76, $9.76
11/27/2020, $9.76, 100, $9.76, $9.76, $9.76
