Date, Close/Last, Volume, Open, High, Low
03/24/2021, $94.02, 361495, $99.35, $99.35, $93.99
03/23/2021, $97.7, 354077, $102.35, $104.31, $97.34
03/22/2021, $103.1, 374775, $106.86, $108.23, $102.29
03/19/2021, $105.72, 869963, $102.52, $105.76, $101.705
03/18/2021, $102.71, 359683, $107.66, $109.23, $101.82
03/17/2021, $108.46, 342328, $105.75, $109.545, $103.63
03/16/2021, $106.85, 229531, $109.78, $112.68, $103.93
03/15/2021, $109.79, 406685, $113.78, $113.78, $107.51
03/12/2021, $114.6, 369440, $114.33, $115.59, $109.7
03/11/2021, $115.78, 561359, $108.44, $117.08, $108.44
03/10/2021, $106, 250827, $114.91, $116.133, $105.85
03/09/2021, $113.29, 279312, $109.66, $116.65, $109.14
03/08/2021, $106.98, 344235, $110.13, $113.73, $103.3
03/05/2021, $111.95, 394280, $104.98, $112.18, $100.23
03/04/2021, $103.09, 465665, $111.2, $112.1, $101.365
03/03/2021, $111.68, 312592, $116.15, $122.21, $111.03
03/02/2021, $116.93, 248089, $119.1, $123.575, $114.57
03/01/2021, $121.22, 247849, $119.07, $122.45, $118.355
02/26/2021, $117.91, 295454, $118.23, $119.91, $110.84
02/25/2021, $116.91, 270132, $117.26, $119.4, $112.621
02/24/2021, $118.1, 196512, $116.57, $121.11, $115.355
02/23/2021, $117.28, 372821, $113.57, $118.96, $108.93
02/22/2021, $116.77, 247717, $120.41, $122.445, $116.12
02/19/2021, $121.93, 303708, $121.45, $128.8716, $121.45
02/18/2021, $120.75, 198025, $122.43, $123.38, $119.47
02/17/2021, $124.53, 275886, $128.32, $129.53, $123.5003
02/16/2021, $130.35, 219901, $133.61, $136.14, $128.78
02/12/2021, $133.64, 202485, $132.77, $136.8061, $132.28
02/11/2021, $134.63, 160254, $136.48, $139, $133.41
02/10/2021, $135.9, 160265, $136.34, $138.17, $133.59
02/09/2021, $136.38, 154321, $139.29, $140.24, $135.47
02/08/2021, $140.01, 360431, $133.62, $141.3, $133.62
02/05/2021, $133.39, 231330, $131.73, $136.33, $130.4487
02/04/2021, $131.12, 201707, $128.06, $133.85, $127.33
02/03/2021, $127.62, 173630, $131.18, $132.8475, $127.39
02/02/2021, $131.56, 293726, $127.72, $132.9, $125.19
02/01/2021, $124.46, 352343, $126.55, $126.74, $121.95
01/29/2021, $125.49, 393022, $125.5, $129.54, $123.49
01/28/2021, $120.68, 290779, $120.1, $125.29, $118.79
01/27/2021, $119.02, 519034, $125.02, $126.8, $117.3431
01/26/2021, $128.07, 204603, $135.2, $135.38, $127.83
01/25/2021, $134.06, 170845, $131.87, $134.125, $129.41
01/22/2021, $131.96, 189572, $128.42, $132.797, $127.125
01/21/2021, $129.52, 273682, $134.4, $134.4, $127.1601
01/20/2021, $133, 226331, $135.85, $136.72, $132.29
01/19/2021, $135.32, 185536, $135.94, $136.2, $131.5
01/15/2021, $131.6, 206971, $136.35, $139.645, $130.6678
01/14/2021, $136.99, 383121, $129.53, $139.81, $128.5801
01/13/2021, $128.03, 200381, $128.86, $131.36, $127.25
01/12/2021, $127.61, 249104, $131.41, $132.19, $126.36
01/11/2021, $129.38, 318497, $126.93, $131.26, $123.26
01/08/2021, $131.07, 363536, $126.21, $131.68, $125.97
01/07/2021, $125.95, 323330, $122.5, $126.25, $119.77
01/06/2021, $122.69, 235782, $120.31, $126.42, $119.14
