Date, Close/Last, Volume, Open, High, Low
03/24/2021, $14.01, 174863, $14.26, $14.4, $14
03/23/2021, $14.04, 148318, $14.3, $14.3201, $14.04
03/22/2021, $14.34, 154450, $14.45, $14.545, $14.34
03/19/2021, $14.5, 244233, $14.4, $14.66, $14.35
03/18/2021, $14.35, 128728, $14.62, $14.68, $14.29
03/17/2021, $14.66, 118580, $14.71, $14.835, $14.6089
03/16/2021, $14.67, 147189, $14.78, $14.82, $14.51
03/15/2021, $14.81, 226066, $14.78, $14.91, $14.7201
03/12/2021, $14.83, 163057, $14.84, $15.04, $14.74
03/11/2021, $15.13, 283225, $15.14, $15.26, $15.0399
03/10/2021, $14.99, 319629, $14.95, $15.23, $14.79
03/09/2021, $14.8, 429717, $14.62, $14.92, $14.59
03/08/2021, $14.57, 295750, $14.4, $14.72, $14.17
03/05/2021, $14.4, 268179, $14.69, $14.69, $13.87
03/04/2021, $14.48, 465469, $14.69, $14.9, $14.15
03/03/2021, $14.5, 162285, $14.6, $14.73, $14.47
03/02/2021, $14.52, 323709, $14.34, $14.65, $14.245
03/01/2021, $14.37, 202584, $14.45, $14.52, $14.3
02/26/2021, $14.17, 155790, $14.09, $14.44, $14.01
02/25/2021, $13.96, 273984, $14.41, $14.59, $13.87
02/24/2021, $14.4, 117291, $14.04, $14.4, $14.04
02/23/2021, $14.16, 266012, $14.35, $14.39, $13.95
02/22/2021, $14.41, 107483, $14.62, $14.65, $14.36
02/19/2021, $14.51, 117018, $14.79, $14.79, $14.435
02/18/2021, $14.73, 216655, $14.42, $14.73, $14.3
02/17/2021, $14.44, 116126, $14.35, $14.49, $14.3288
02/16/2021, $14.27, 167173, $14.18, $14.5, $14.15
02/12/2021, $14.08, 158906, $14.27, $14.3226, $14.07
02/11/2021, $14.27, 188483, $14.41, $14.64, $14.17
02/10/2021, $14.34, 121898, $14.31, $14.5, $14.2503
02/09/2021, $14.33, 139723, $14.35, $14.54, $14.16
02/08/2021, $14.33, 263421, $14.6, $14.6899, $14.27
02/05/2021, $14.5, 333738, $14.5, $14.68, $14.415
02/04/2021, $14.38, 282478, $14.32, $14.55, $14.3
02/03/2021, $14.33, 439440, $14.05, $14.34, $13.92
02/02/2021, $14.03, 172878, $13.79, $14.11, $13.77
02/01/2021, $13.69, 125149, $13.45, $13.8299, $13.45
01/29/2021, $13.39, 254568, $13.66, $13.75, $13.39
01/28/2021, $13.63, 125013, $13.63, $13.76, $13.61
01/27/2021, $13.58, 189570, $13.58, $13.7944, $13.4411
01/26/2021, $13.62, 147124, $13.58, $13.68, $13.41
01/25/2021, $13.49, 180167, $13.66, $13.86, $13.49
01/22/2021, $13.69, 194687, $13.55, $13.78, $13.476
01/21/2021, $13.55, 87484, $13.63, $13.65, $13.5
01/20/2021, $13.59, 235265, $13.51, $13.65, $13.4698
01/19/2021, $13.45, 283746, $13.55, $13.6, $13.35
01/15/2021, $13.5, 98117, $13.3, $13.6099, $13.3
01/14/2021, $13.5, 196438, $13.42, $13.61, $13.4001
01/13/2021, $13.43, 112087, $13.44, $13.5, $13.3
01/12/2021, $13.39, 121054, $13.36, $13.48, $13.22
01/11/2021, $13.25, 115718, $13.15, $13.575, $13.15
01/08/2021, $13.29, 88120, $13.4, $13.44, $13.16
01/07/2021, $13.31, 178529, $13.18, $13.625, $13.0964
01/06/2021, $13.07, 172557, $12.74, $13.14, $12.74
01/05/2021, $12.83, 176850, $12.89, $12.98, $12.76
01/04/2021, $12.86, 258748, $13.17, $13.2092, $12.737
12/31/2020, $13.04, 178385, $13.03, $13.2, $13.02
12/30/2020, $13.03, 181103, $13.23, $13.23, $13.0102
