Date, Close/Last, Volume, Open, High, Low
01/20/2021, $25.49, 3663, $25.4, $25.49, $25.4
01/19/2021, $25.38, 1849, $25.5, $25.5, $25.31
01/15/2021, $25.48, 747, $25.36, $25.48, $25.35
01/14/2021, $25.47, 1700, $25.5, $25.5, $25.32
01/13/2021, $25.5, 2960, $25.47, $25.5, $25.4
01/12/2021, $25.42, 1375, $25.32, $25.43, $25.32
01/11/2021, $25.435, 2886, $25.42, $25.4426, $25.33
01/08/2021, $25.51, 4042, $25.55, $25.55, $25.35
01/07/2021, $25.4902, 5482, $25.48, $25.6412, $25.34
01/06/2021, $25.62, 6733, $25.43, $25.62, $25.33
01/05/2021, $25.325, 1142, $25.372, $25.389, $25.325
01/04/2021, $25.43, 1865, $25.255, $25.4399, $25.255
12/31/2020, $25.21, 12774, $25.26, $25.3, $25.21
12/30/2020, $25.26, 2983, $25.35, $25.35, $25.2
12/29/2020, $25.49, 4405, $25.566, $25.566, $25.39
12/28/2020, $25.46, 5860, $25.66, $25.66, $25.36
12/24/2020, $25.45, 7658, $25.545, $25.69, $25.35
12/23/2020, $25.72, N/A, $25.72, $25.72, $25.72
12/22/2020, $25.72, 4006, $25.62, $25.73, $25.47
12/21/2020, $25.5999, 4509, $25.6, $25.6, $25.49
12/18/2020, $25.6, 1339, $25.75, $25.75, $25.6
12/17/2020, $25.6, 4862, $25.52, $25.64, $25.52
12/16/2020, $25.59, 2110, $25.62, $25.62, $25.44
12/15/2020, $25.64, 5883, $25.525, $25.64, $25.4
12/14/2020, $25.6, 7402, $25.4, $25.6, $25.27
12/11/2020, $25.54, 2771, $25.45, $25.5966, $25.31
12/10/2020, $25.42, 1174, $25.4, $25.59, $25.4
12/09/2020, $25.44, 498, $25.4345, $25.44, $25.4345
12/08/2020, $25.5044, 3096, $25.54, $25.54, $25.4
12/07/2020, $25.43, 4115, $25.34, $25.5, $25.3
12/04/2020, $25.39, 712, $25.47, $25.47, $25.32
12/03/2020, $25.37, 3141, $25.3, $25.37, $25.28
12/02/2020, $25.35, 660, $25.368, $25.38, $25.35
12/01/2020, $25.45, 1701, $25.45, $25.45, $25.375
11/30/2020, $25.4683, 1099, $25.46, $25.4683, $25.4042
11/27/2020, $25.405, 579, $25.31, $25.405, $25.31
11/25/2020, $25.45, 1170, $25.32, $25.49, $25.32
