Date, Close/Last, Volume, Open, High, Low
03/24/2021, $11.04, 326623, $11.2, $11.62, $11.03
03/23/2021, $11.16, 245985, $11.35, $11.52, $11.06
03/22/2021, $11.51, 227785, $11.7, $11.72, $11.38
03/19/2021, $11.72, 863199, $11.49, $11.73, $11.11
03/18/2021, $11.48, 309320, $11.97, $11.9873, $11.4
03/17/2021, $11.95, 247744, $11.72, $11.98, $11.68
03/16/2021, $11.69, 326004, $11.88, $11.9, $11.61
03/15/2021, $12.01, 250104, $11.87, $12.03, $11.6301
03/12/2021, $11.81, 240012, $11.79, $12.01, $11.79
03/11/2021, $11.74, 358513, $11.71, $11.85, $11.55
03/10/2021, $11.62, 337726, $11.28, $11.73, $11.19
03/09/2021, $11.27, 426393, $11.48, $11.48, $11.09
03/08/2021, $11.35, 458562, $10.97, $11.39, $10.97
03/05/2021, $10.91, 470713, $11.14, $11.14, $10.3
03/04/2021, $10.99, 588588, $11.03, $11.13, $10.58
03/03/2021, $11.1, 546435, $10.86, $11.355, $10.86
03/02/2021, $10.85, 496212, $10.87, $11.06, $10.7833
03/01/2021, $10.93, 561758, $10.74, $11.17, $10.71
02/26/2021, $10.44, 540924, $10.36, $10.84, $10.29
02/25/2021, $10.49, 1041746, $10.91, $11.04, $10.26
02/24/2021, $11.79, 350930, $11.15, $11.85, $11.15
02/23/2021, $11.07, 261620, $11.22, $11.3, $10.94
02/22/2021, $11.24, 342140, $10.81, $11.3, $10.7701
02/19/2021, $10.96, 154412, $10.66, $11.0199, $10.66
02/18/2021, $10.63, 217778, $10.78, $10.84, $10.6
02/17/2021, $10.86, 252571, $11.14, $11.145, $10.77
02/16/2021, $11.24, 284908, $11.1, $11.24, $10.985
02/12/2021, $10.85, 294375, $10.86, $10.98, $10.84
02/11/2021, $10.89, 283262, $10.93, $11.09, $10.65
02/10/2021, $10.86, 217170, $10.86, $11.06, $10.805
02/09/2021, $10.85, 269096, $10.93, $11, $10.77
02/08/2021, $11.01, 244358, $10.99, $11.17, $10.8
02/05/2021, $10.92, 318924, $10.75, $11.01, $10.65
02/04/2021, $10.63, 297423, $10.28, $10.66, $10.28
02/03/2021, $10.29, 340493, $10.5, $10.58, $10.23
02/02/2021, $10.33, 183161, $10.12, $10.39, $10.11
02/01/2021, $10.03, 298035, $9.85, $10.04, $9.58
01/29/2021, $9.77, 592842, $10.11, $10.14, $9.65
01/28/2021, $10.18, 411201, $10.22, $10.28, $9.98
01/27/2021, $10.11, 563548, $10.51, $10.55, $10.05
01/26/2021, $10.68, 251417, $11.03, $11.08, $10.67
01/25/2021, $10.9, 382762, $11.23, $11.23, $10.84
01/22/2021, $11.2, 276133, $11.09, $11.2, $10.8142
01/21/2021, $11.19, 340604, $11.25, $11.32, $11.0724
01/20/2021, $11.23, 503262, $10.85, $11.34, $10.7301
01/19/2021, $10.65, 364720, $10.65, $10.74, $10.4643
01/15/2021, $10.55, 311242, $10.54, $10.7, $10.47
01/14/2021, $10.68, 273495, $10.66, $10.735, $10.54
01/13/2021, $10.59, 234122, $10.68, $10.79, $10.53
01/12/2021, $10.68, 348494, $10.48, $10.71, $10.445
01/11/2021, $10.52, 362651, $10.36, $10.71, $10.26
01/08/2021, $10.5, 308004, $10.54, $10.56, $10.26
01/07/2021, $10.57, 310132, $10.76, $10.8, $10.5224
01/06/2021, $10.69, 349518, $10.46, $10.85, $10.405
01/05/2021, $10.23, 248676, $10.29, $10.38, $10.04
01/04/2021, $10.3, 460251, $10.73, $10.75, $10.23
12/31/2020, $10.62, 314803, $10.61, $10.71, $10.47
12/30/2020, $10.52, 368997, $10.59, $10.89, $10.5
12/29/2020, $10.57, 355232, $10.66, $10.7, $10.4
12/28/2020, $10.75, 580803, $10.78, $10.9635, $10.69
