Date, Close/Last, Volume, Open, High, Low
03/24/2021, $69.15, 246940, $72.95, $73.43, $69.13
03/23/2021, $72.54, 277332, $73.46, $75.55, $71.78
03/22/2021, $74.72, 162791, $76.45, $77.08, $74.6
03/19/2021, $75.24, 437639, $74.2, $76.22, $73.32
03/18/2021, $74.22, 190631, $79.34, $79.9025, $73.93
03/17/2021, $80.15, 174396, $79.54, $80.9942, $77.93
03/16/2021, $80.41, 203906, $78.99, $81.52, $76.433
03/15/2021, $80.98, 200044, $82.64, $83.21, $80.27
03/12/2021, $83.17, 177510, $82.68, $83.53, $80.55
03/11/2021, $84.27, 272998, $80.82, $84.46, $80.17
03/10/2021, $78.6, 317934, $75.74, $80.17, $75.74
03/09/2021, $75.28, 441072, $72.57, $75.82, $72.57
03/08/2021, $71.42, 321565, $77.09, $79.49, $70.5
03/05/2021, $77.5, 591653, $76, $79.5447, $72.35
03/04/2021, $75.85, 571445, $77.56, $78.995, $73.65
03/03/2021, $78.88, 372004, $87.17, $87.17, $78.62
03/02/2021, $86.77, 281624, $93.242, $93.242, $86.08
03/01/2021, $89.65, 345895, $86.15, $90.21, $85.9
02/26/2021, $83.63, 236922, $81.5, $85.01, $79.77
02/25/2021, $81.58, 345723, $84.16, $86.98, $80.73
02/24/2021, $83.95, 316343, $82.42, $84.1976, $79.74
02/23/2021, $83.57, 551189, $85, $85.6468, $78.27
02/22/2021, $86.8, 288893, $90.6, $91.225, $86.29
02/19/2021, $91.5, 484792, $90.49, $93.039, $90.2301
02/18/2021, $89.88, 436342, $93.17, $93.71, $88.76
02/17/2021, $92.62, 265888, $95.75, $96.57, $92.01
02/16/2021, $95.39, 430105, $100.305, $101.12, $95.38
02/12/2021, $98.65, 370860, $91.34, $99.23, $91.34
02/11/2021, $92.5, 500102, $94.8, $95.0756, $85
02/10/2021, $93.68, 472199, $97.38, $99.3, $93.29
02/09/2021, $96.3, 473885, $93, $97.41, $92.85
02/08/2021, $92.8, 285312, $90.14, $93.01, $88.6
02/05/2021, $88.79, 295448, $85.15, $89.28, $84.71
02/04/2021, $84.56, 264896, $82.01, $84.7, $81.75
02/03/2021, $81.99, 198946, $81.19, $82.48, $80.865
02/02/2021, $81.51, 580710, $81.51, $82.54, $77.514
02/01/2021, $80.51, 305831, $76.06, $81.3, $75.63
01/29/2021, $74.7, 363236, $76.2, $76.6499, $74.45
01/28/2021, $75.63, 267138, $75.49, $76.7619, $73.76
01/27/2021, $74.83, 381419, $72.45, $75.535, $70.93
01/26/2021, $73.32, 128331, $73.24, $73.47, $72.23
01/25/2021, $73.1, 239581, $73.12, $74.33, $71.2
01/22/2021, $72.44, 187191, $70.74, $72.64, $70.26
01/21/2021, $71.68, 281980, $74, $74.4499, $70.11
01/20/2021, $70.12, 309005, $69.75, $71.81, $68.92
01/19/2021, $69.56, 491174, $69.59, $70.5561, $67.63
01/15/2021, $68.54, 251424, $68.39, $68.98, $66.45
01/14/2021, $68.78, 170560, $67.86, $69.53, $67.55
01/13/2021, $67.49, 316558, $68.3, $69.2, $66.87
01/12/2021, $68.21, 263755, $66.75, $68.5, $66.33
01/11/2021, $66.56, 228080, $65.88, $67.95, $64.76
01/08/2021, $66.42, 207231, $66.43, $66.98, $65.57
01/07/2021, $65.87, 222439, $63.67, $66.485, $63.36
01/06/2021, $63.12, 280592, $61.91, $63.19, $61.59
01/05/2021, $61.7, 320150, $59.3, $62.28, $59.3
01/04/2021, $59.25, 277886, $60.27, $60.61, $58.37
12/31/2020, $59.11, 383072, $58.14, $59.43, $57.53
12/30/2020, $58.01, 153097, $57.82, $58.63, $57.0995
12/29/2020, $57.61, 148579, $58.69, $59.02, $57.2601
12/28/2020, $58.76, 268206, $60.71, $60.71, $56.9
12/24/2020, $60.5, 104854, $61.62, $61.95, $60.3
12/23/2020, $61.14, 245551, $60.71, $62.41, $59.9
12/22/2020, $59.09, 233517, $57.88, $59.6, $57.65
12/21/2020, $57.31, 269680, $55.97, $57.87, $55.6041
12/18/2020, $57.12, 699038, $55.73, $57.34, $54.49
12/17/2020, $55.29, 347693, $54.54, $55.96, $53.89
12/16/2020, $54.07, 520146, $52.63, $55.01, $52.5
12/15/2020, $52.63, 1336719, $50.36, $52.77, $50.08
12/14/2020, $50.31, 1755682, $53.41, $54.7299, $49.94
12/11/2020, $60.17, 295560, $60.204, $63.11, $59.66
12/10/2020, $61.74, 543143, $54.04, $62.2, $53.01
12/09/2020, $52.29, 184319, $53, $55.03, $52.06
12/08/2020, $52.77, 144162, $51.08, $52.91, $50.96
12/07/2020, $51.13, 88795, $52.03, $53.15, $50.88
12/04/2020, $51.67, 121576, $50.2, $51.78, $49.575
12/03/2020, $50.14, 165949, $50.68, $51.77, $50.01
12/02/2020, $50.66, 148993, $51.88, $51.88, $49.77
12/01/2020, $52.14, 201579, $52.78, $53.68, $52.04
11/30/2020, $52.5, 198658, $52.57, $53.27, $50.95
11/27/2020, $52.56, 59341, $51.84, $52.8, $51.56
11/25/2020, $51.44, 221405, $53, $53.06, $51.215
11/24/2020, $53.41, 237544, $53.01, $53.9, $52.41
11/23/2020, $53.31, 167261, $53.85, $54.2, $52.67
11/20/2020, $53.02, 229832, $50.98, $53.5025, $50.4
11/19/2020, $51.4, 203391, $50.8, $51.79, $50.02
11/18/2020, $50.94, 188635, $51.64, $52.24, $50.91
11/17/2020, $51.62, 241999, $52.21, $52.5, $50.773
