Date, Close/Last, Volume, Open, High, Low
03/24/2021, $170.26, 1126541, $174.49, $174.49, $169.33
03/23/2021, $173.85, 1622670, $172.33, $177.08, $171.56
03/22/2021, $171.88, 1127459, $171.29, $173.4, $170.87
03/19/2021, $169.74, 1804511, $169.17, $171.49, $168.075
03/18/2021, $167.22, 2267604, $167.89, $170.4211, $166.56
03/17/2021, $168.91, 1611711, $171.45, $171.81, $165.5
03/16/2021, $173.01, 1716604, $172, $174.52, $169.75
03/15/2021, $169.17, 828041, $171.77, $171.77, $167.9227
03/12/2021, $170.25, 642119, $169.14, $170.64, $166.39
03/11/2021, $170.61, 1022050, $168.94, $171.52, $167.795
03/10/2021, $164.82, 1194644, $170.34, $171.4, $163
03/09/2021, $168.57, 1972516, $169, $169.9, $166.67
03/08/2021, $161.62, 2608628, $170.18, $171.205, $161.33
03/05/2021, $170.81, 2226729, $173.28, $173.84, $168.34
03/04/2021, $174.03, 1624904, $178.98, $180.72, $170.28
03/03/2021, $180.15, 1178220, $188.2, $188.2, $179.11
03/02/2021, $188.17, 1086999, $188.45, $190.81, $186.31
03/01/2021, $187.45, 673175, $186, $188.2016, $185.17
02/26/2021, $184.46, 1476486, $185.38, $186.99, $182.38
02/25/2021, $184.68, 1217713, $186.39, $188.5, $181.93
02/24/2021, $186.99, 1219046, $184.8, $187.43, $182.38
02/23/2021, $185.95, 2062576, $184.0535, $187.1397, $181.112
02/22/2021, $189.85, 1705417, $191.62, $195.4, $189.521
02/19/2021, $194.86, 1087800, $197.95, $198.125, $193.77
02/18/2021, $196.23, 808747, $192.64, $196.765, $192.56
02/17/2021, $195.93, 1068979, $194.63, $196.17, $191.1
02/16/2021, $195.79, 1534214, $200.733, $201, $194.45
02/12/2021, $199.86, 1264802, $196.5, $200.28, $194.72
02/11/2021, $197.12, 1442979, $201.69, $201.73, $196
02/10/2021, $199.82, 2599374, $202.51, $203.75, $198.5
02/09/2021, $200.31, 5865979, $202.69, $203.86, $197.65
02/08/2021, $213.34, 3019376, $210.477, $214.91, $209.435
02/05/2021, $207.49, 1586630, $206.27, $211.4, $205.61
02/04/2021, $201.49, 813238, $202.71, $205.56, $200.7491
02/03/2021, $202.4, 866988, $207.55, $207.67, $201.795
02/02/2021, $207.11, 1122277, $203.54, $208.15, $201.31
02/01/2021, $200.94, 1067939, $201.79, $203.91, $198.945
01/29/2021, $200.45, 1000148, $198.84, $204.24, $198.61
01/28/2021, $200.3, 1160940, $195.48, $203, $195.48
01/27/2021, $195.38, 1284932, $200.28, $201.065, $193.75
01/26/2021, $199.78, 856156, $203.77, $204.08, $199.29
01/25/2021, $203.99, 787415, $207.77, $208.71, $201.67
01/22/2021, $204.66, 906571, $204.92, $206.7, $202.79
01/21/2021, $205.56, 890308, $207.43, $208.72, $203.42
01/20/2021, $207.05, 1727152, $201.03, $207.37, $199.84
01/19/2021, $198.73, 1679243, $195.85, $200.0273, $195.25
01/15/2021, $196.28, 1688228, $195.7, $197.95, $191.81
01/14/2021, $195.47, 1407870, $199.16, $201.35, $194.53
01/13/2021, $199.5, 1281440, $198.45, $202.39, $197
01/12/2021, $199.15, 1596781, $206.82, $207.13, $198.86
01/11/2021, $206.54, 840621, $208.48, $209.13, $206.08
01/08/2021, $210.43, 899756, $209.07, $211.44, $207.63
01/07/2021, $208.01, 944395, $204.39, $208.6106, $203.195
01/06/2021, $201.53, 1140658, $202.45, $206.64, $199.9
01/05/2021, $204.74, 877975, $202.11, $205.08, $200.115
01/04/2021, $201.85, 1850023, $208.67, $208.67, $199.04
12/31/2020, $207.79, 643956, $207, $207.98, $206.06
12/30/2020, $206.35, 1524234, $203.98, $209.26, $202.17
12/29/2020, $202.45, 879217, $202.15, $204.855, $200.94
12/28/2020, $201.12, 631552, $204.79, $204.79, $200.55
12/24/2020, $202.5, 211642, $202.47, $204.44, $201.49
12/23/2020, $201.82, 684461, $202.8, $203.44, $199.93
12/22/2020, $201.86, 706256, $202.74, $204.16, $200.58
12/21/2020, $201.77, 1087656, $203.96, $204.42, $198.28
