Date, Close/Last, Volume, Open, High, Low
03/24/2021, $23.74, 1001962, $24.59, $25.22, $23.72
03/23/2021, $24.16, 900138, $25.82, $25.83, $23.93
03/22/2021, $25.98, 728212, $26.69, $26.83, $25.71
03/19/2021, $26.68, 1537342, $27.04, $27.35, $26.4
03/18/2021, $27, 1072358, $28.18, $28.23, $26.84
03/17/2021, $28.43, 1043543, $26.87, $28.68, $26.59
03/16/2021, $27.18, 1105111, $27.84, $28.39, $26.37
03/15/2021, $27.67, 2090299, $25.3, $28.27, $25.1801
03/12/2021, $24.98, 1384552, $24.2, $25.2, $23.84
03/11/2021, $24.36, 2412313, $25.51, $26.04, $24.01
03/10/2021, $25.96, 7237098, $27.39, $27.4275, $23.26
03/09/2021, $32.4, 1107631, $32.24, $33.24, $31.78
03/08/2021, $31.73, 722575, $31.66, $33.715, $31.42
03/05/2021, $31.04, 865302, $31.01, $31.36, $28.86
03/04/2021, $30.7, 969902, $31.75, $32.28, $29.43
03/03/2021, $31.69, 419955, $32.32, $32.87, $31.57
03/02/2021, $31.94, 442734, $32.61, $33.2, $31.72
03/01/2021, $32.7, 719744, $31.38, $33.39, $31.2626
02/26/2021, $30.57, 601521, $30.74, $31.53, $30.13
02/25/2021, $30.65, 685758, $32.58, $32.675, $30.3553
02/24/2021, $32.4, 569431, $32.37, $32.695, $31.41
02/23/2021, $32.16, 621652, $32.29, $32.4913, $30.15
02/22/2021, $33.54, 594286, $33, $34.34, $33
02/19/2021, $33.45, 621382, $31.73, $33.47, $31.12
02/18/2021, $31.55, 375518, $32.38, $32.73, $31.51
02/17/2021, $32.58, 307375, $31.96, $32.79, $31.46
02/16/2021, $32.47, 404615, $32.46, $32.91, $31.86
02/12/2021, $32.11, 382379, $32.6, $33.11, $31.81
02/11/2021, $32.59, 900269, $35.76, $35.76, $31.5
02/10/2021, $35.47, 428633, $36.17, $36.66, $35.011
02/09/2021, $36.12, 547446, $36.5, $37.07, $35.3901
