Date, Close/Last, Volume, Open, High, Low
03/24/2021, $411.33, 172609, $421.46, $421.46, $409.21
03/23/2021, $420.61, 201136, $422.14, $423.73, $418.76
03/22/2021, $420.7, 162321, $416.82, $425.67, $416.655
03/19/2021, $420.04, 548448, $418.25, $423.835, $412.89
03/18/2021, $417.98, 221017, $418.27, $424.77, $416.55
03/17/2021, $423.37, 208914, $424.13, $426.92, $416.405
03/16/2021, $424.72, 190601, $425.51, $431.46, $423.57
03/15/2021, $425.02, 303579, $411.14, $426.1102, $411.14
03/12/2021, $411.82, 322430, $410, $412.12, $400.37
03/11/2021, $411.87, 418551, $410.67, $414.42, $406.29
03/10/2021, $400.82, 232464, $405.59, $406.72, $398.67
03/09/2021, $403.35, 430838, $406.97, $411.33, $402.52
03/08/2021, $398.28, 427732, $398.54, $407.945, $390.78
03/05/2021, $401.06, 1277862, $431.03, $432.99, $398.24
03/04/2021, $379.56, 2193694, $428, $428, $372.8
03/03/2021, $439.2, 203575, $461.97, $461.97, $438.62
03/02/2021, $464.45, 129615, $475.52, $475.64, $463.99
03/01/2021, $477.05, 233794, $466.08, $479.785, $465.42
02/26/2021, $463.42, 360573, $462.92, $469.6, $458.355
02/25/2021, $461.31, 281522, $469.95, $474.3, $459.13
02/24/2021, $473.19, 210207, $461.18, $475.11, $456.88
02/23/2021, $462.12, 265009, $455.82, $465, $447.99
02/22/2021, $459.62, 162357, $468.57, $470.76, $458.2
02/19/2021, $473.88, 181781, $474.51, $479.615, $472.9
02/18/2021, $470.99, 198516, $466.24, $472.63, $463.82
02/17/2021, $469.04, 160359, $471, $471.23, $460.04
02/16/2021, $471.73, 206357, $471.78, $474.82, $465.1294
02/12/2021, $474.79, 213758, $465.08, $475.43, $463.02
02/11/2021, $466.05, 253262, $451.45, $466.43, $444.13
02/10/2021, $450.62, 524948, $433.5, $456.03, $430.65
02/09/2021, $423.12, 256785, $429.98, $429.98, $421.36
02/08/2021, $427.42, 262289, $425.7, $428.105, $421.83
02/05/2021, $422.12, 295253, $426.46, $428.52, $418.2
02/04/2021, $424.9, 198814, $428.15, $430.33, $423.82
02/03/2021, $427.56, 131297, $432.04, $432.98, $424.61
02/02/2021, $429.66, 325212, $428, $431.09, $424.52
02/01/2021, $426.78, 416255, $426.99, $430.5, $416.63
01/29/2021, $422.79, 255711, $427.74, $434.48, $422.5
01/28/2021, $430, 322208, $432.75, $436.525, $425.68
