Date, Close/Last, Volume, Open, High, Low
03/24/2021, $9.88, 40011, $9.91, $9.91, $9.81
03/23/2021, $9.88, 87426, $9.91, $9.916, $9.82
03/22/2021, $9.93, 3749, $9.95, $9.97, $9.926
03/19/2021, $9.97, 19725, $9.95, $9.99, $9.95
03/18/2021, $9.98, 88372, $10.035, $10.05, $9.96
03/17/2021, $10.1, 3709, $9.9911, $10.115, $9.9911
03/16/2021, $10.02, 241, $10.02, $10.02, $10.02
03/15/2021, $10, 24711, $10.04, $10.1, $9.985
03/12/2021, $10.04, 47949, $10.03, $10.05, $10.03
03/11/2021, $10.03, 38683, $10.06, $10.07, $10.01
03/10/2021, $10.1, 61317, $10.125, $10.125, $10.085
03/09/2021, $10.15, 138284, $10.1, $10.25, $10.1
03/08/2021, $10.05, 163631, $10.058, $10.15, $10.03
03/05/2021, $10.05, 260317, $10.05, $10.12, $10.03
03/04/2021, $10.07, 58215, $10.06, $10.1001, $10.05
03/03/2021, $10.1, 50092, $10.19, $10.35, $10.1
03/02/2021, $10.1499, 42127, $10.17, $10.17, $10.12
03/01/2021, $10.22, 105977, $10.23, $10.33, $10.16
02/26/2021, $10.3001, 147030, $10.25, $10.34, $10.19
02/25/2021, $10.24, 340698, $10.39, $10.39, $10.2
02/24/2021, $10.38, 109036, $10.37, $10.39, $10.3
02/23/2021, $10.38, 119984, $10.31, $10.39, $10.3
02/22/2021, $10.3904, 142526, $10.39, $10.4699, $10.39
02/19/2021, $10.37, 33767, $10.4, $10.4, $10.37
02/18/2021, $10.3999, 90515, $10.4, $10.43, $10.36
02/17/2021, $10.42, 25880, $10.45, $10.4687, $10.4
02/16/2021, $10.4, 125988, $10.49, $10.49, $10.395
02/12/2021, $10.48, 31709, $10.5, $10.5, $10.4
02/11/2021, $10.45, 130033, $10.5, $10.535, $10.39
02/10/2021, $10.56, 119936, $10.59, $10.59, $10.435
02/09/2021, $10.53, 64062, $10.51, $10.65, $10.45
02/08/2021, $10.53, 119065, $10.5, $10.59, $10.4901
02/05/2021, $10.47, 142264, $10.46, $10.53, $10.38
02/04/2021, $10.44, 217468, $10.32, $10.45, $10.3
02/03/2021, $10.35, 115379, $10.34, $10.45, $10.3
02/02/2021, $10.38, 124645, $10.49, $10.5, $10.38
02/01/2021, $10.45, 179194, $10.43, $10.49, $10.32
01/29/2021, $10.44, 253652, $10.43, $10.46, $10.3
01/28/2021, $10.4, 128736, $10.43, $10.49, $10.35
01/27/2021, $10.45, 982806, $10.35, $10.5, $10.2
01/26/2021, $10.47, 344354, $10.43, $10.56, $10.37
01/25/2021, $10.45, 929036, $10.4, $10.45, $10.35
01/22/2021, $10.35, 773718, $10.3, $10.37, $10.22
01/21/2021, $10.3, 1232602, $10.28, $10.39, $10.28
01/20/2021, $10.27, 9696761, $10.3, $10.38, $10.25
