Date, Close/Last, Volume, Open, High, Low
03/24/2021, $6.41, 1887270, $7.11, $7.25, $6.4
03/23/2021, $7.15, 1925250, $7.63, $7.75, $6.97
03/22/2021, $7.75, 2460662, $7.95, $7.96, $7.44
03/19/2021, $7.8, 1932493, $7.34, $7.82, $7.18
03/18/2021, $7.51, 1966701, $7.76, $8.025, $7.41
03/17/2021, $8.06, 3538901, $6.98, $8.1, $6.82
03/16/2021, $7.47, 3388432, $8.1, $8.11, $7.25
03/15/2021, $8.18, 3113578, $8.55, $8.72, $7.91
03/12/2021, $8.66, 2493593, $8.11, $8.72, $7.9239
03/11/2021, $8.47, 3366341, $8.34, $8.54, $8.1
03/10/2021, $8.19, 8009252, $9.3, $9.3, $7.65
03/09/2021, $7.65, 5575901, $6.72, $7.76, $6.3801
03/08/2021, $6.22, 6003388, $6.19, $7.05, $5.81
03/05/2021, $5.84, 7841240, $5.94, $6.2, $4.51
03/04/2021, $5.92, 7861057, $6.8, $7.1148, $5.41
03/03/2021, $7.13, 4071684, $7.86, $8.13, $7
03/02/2021, $8.08, 2066948, $8.29, $8.53, $8
03/01/2021, $8.31, 2795347, $8.59, $8.64, $8.11
02/26/2021, $8.1, 2935975, $8.32, $8.46, $7.69
02/25/2021, $7.99, 4798061, $9.4, $9.4, $7.76
02/24/2021, $9.18, 6318682, $8.37, $9.75, $8.3401
02/23/2021, $8.01, 7296207, $7.88, $8.6638, $7
02/22/2021, $9.3, 6266941, $9.9, $10.29, $9.15
02/19/2021, $10.32, 29906530, $11, $11.74, $9.66
02/18/2021, $8.96, 36851340, $13.06, $13.33, $8.1
02/17/2021, $14.09, 4177763, $14.2, $15.22, $13.62
02/16/2021, $14.82, 6246650, $15.64, $15.75, $14.35
02/12/2021, $14.7, 4054318, $13.79, $14.9582, $13.35
02/11/2021, $14.35, 9204277, $15.52, $15.78, $12.6
02/10/2021, $15.69, 21518730, $15.15, $17.6799, $13.66
02/09/2021, $14.44, 18634650, $11.72, $14.44, $11.3
02/08/2021, $12, 7465773, $11.3, $12.2, $10.71
02/05/2021, $11.47, 4983954, $12.12, $12.3, $11.15
02/04/2021, $12.41, 10738180, $11.43, $12.89, $11.08
02/03/2021, $11.4, 5398902, $11.21, $11.85, $10.8501
02/02/2021, $11.1, 5621692, $11.87, $11.92, $10.6
02/01/2021, $11.5, 15312740, $10.06, $12.15, $9.53
01/29/2021, $9.77, 5486568, $10.5, $10.82, $9.63
01/28/2021, $10.8, 5612009, $10.72, $11.4, $10.02
01/27/2021, $10.11, 7282630, $10.7, $11.59, $10
