Date, Close/Last, Volume, Open, High, Low
03/24/2021, $329.48, 81697, $342.42, $345.11, $328.89
03/23/2021, $342.98, 96442, $347.58, $349.95, $339.92
03/22/2021, $346.39, 75383, $346.43, $349.95, $343.16
03/19/2021, $343.39, 179392, $339.05, $349.2, $339.05
03/18/2021, $337.74, 47653, $345, $347.42, $336.37
03/17/2021, $347.95, 75170, $345.77, $349.21, $337.14
03/16/2021, $348.05, 83738, $340.04, $352.62, $340.04
03/15/2021, $340.77, 76739, $339.81, $342.39, $336.37
03/12/2021, $336.29, 53079, $334.98, $338.65, $332.77
03/11/2021, $336.23, 122961, $338.17, $343.0599, $332.43
03/10/2021, $331.1, 73738, $336.8, $339.97, $326.78
03/09/2021, $332.2, 93839, $329.4, $337.935, $327.94
03/08/2021, $323.24, 89489, $320.35, $331, $316.73
03/05/2021, $319.08, 77300, $313.93, $319.73, $297.71
03/04/2021, $313.21, 120924, $327.89, $329.01, $308.38
03/03/2021, $326.91, 114854, $328.18, $329.37, $321.04
03/02/2021, $328.58, 75363, $340, $340, $327.09
03/01/2021, $337.46, 112664, $322.59, $339.98, $322.59
02/26/2021, $318.92, 82896, $322, $326.81, $316.78
02/25/2021, $321.3, 131781, $318, $326.12, $317.8
02/24/2021, $320.48, 148742, $330.31, $330.31, $319.22
02/23/2021, $327.74, 150668, $330.12, $334.75, $312.61
02/22/2021, $335.77, 77738, $344.6, $345.04, $332.61
02/19/2021, $346, 71530, $342, $349.15, $339.5724
02/18/2021, $339.08, 86733, $343.02, $343.02, $334.4
02/17/2021, $346.08, 70372, $348.34, $348.57, $338
02/16/2021, $349.11, 70970, $351.6, $351.6, $340.26
02/12/2021, $353.95, 49654, $356.5, $359.27, $352.04
02/11/2021, $356.56, 76677, $352.1, $356.64, $348.36
02/10/2021, $349.54, 108715, $361.02, $362.8899, $344.2
02/09/2021, $357.07, 109092, $349, $362.68, $348.7
02/08/2021, $346.64, 113502, $342.57, $353.43, $338.55
02/05/2021, $339, 225279, $344.34, $353.53, $331.88
02/04/2021, $313.94, 132577, $305.57, $314.88, $303.2
