Date, Close/Last, Volume, Open, High, Low
03/24/2021, $24.88, 597119, $24.69, $25.12, $24.35
03/23/2021, $24.71, 775022, $26.09, $26.1, $24.53
03/22/2021, $25.94, 1023354, $26.46, $26.7211, $25.61
03/19/2021, $26.56, 1810665, $25.42, $26.8, $24.99
03/18/2021, $25.24, 1019032, $25.56, $25.96, $24.34
03/17/2021, $26.3, 772357, $25.73, $26.57, $25.57
03/16/2021, $25.9, 450931, $25.63, $26.11, $25.63
03/15/2021, $25.7, 469121, $26.16, $26.2699, $25.61
03/12/2021, $26.17, 331445, $25.78, $26.2, $25.49
03/11/2021, $25.94, 409243, $26.14, $26.57, $25.82
03/10/2021, $25.85, 651322, $24.75, $25.93, $24.675
03/09/2021, $24.62, 458299, $23.85, $25.16, $23.85
03/08/2021, $23.82, 508608, $24.1, $24.67, $23.54
03/05/2021, $24.08, 683591, $23.35, $24.09, $22.12
03/04/2021, $23.23, 1009786, $24.2, $24.3, $21.87
03/03/2021, $24.33, 698597, $25.01, $25.33, $24.31
03/02/2021, $25.21, 300591, $25.83, $25.83, $25.11
03/01/2021, $25.53, 624739, $25.81, $25.99, $25.2787
02/26/2021, $25.27, 814135, $25.5, $25.93, $24.875
02/25/2021, $25.46, 485075, $26.02, $26.59, $25.32
02/24/2021, $25.48, 311254, $25.53, $25.7, $24.96
02/23/2021, $24.99, 508341, $25.94, $26.08, $24.561
02/22/2021, $26.2, 351607, $26.03, $26.444, $25.8082
02/19/2021, $26.1, 303924, $26, $26.6218, $25.71
02/18/2021, $25.75, 455701, $25.62, $26.31, $25.3
02/17/2021, $25.64, 1087340, $26, $26.07, $24.95
02/16/2021, $26, 412368, $25.62, $26.42, $25.53
02/12/2021, $25.49, 201004, $25.12, $25.5, $25.07
02/11/2021, $25.32, 515172, $25.59, $25.59, $24.8195
02/10/2021, $25.1, 1015713, $25.37, $26.24, $25.08
02/09/2021, $25.09, 391536, $25.45, $26.2492, $24.76
02/08/2021, $25.46, 1313519, $24.19, $25.8, $24.0277
02/05/2021, $23.94, 364229, $23.38, $24.14, $23.3101
02/04/2021, $23.36, 745406, $23.21, $24.05, $23.02
02/03/2021, $23.15, 368150, $22.76, $23.37, $22.6939
02/02/2021, $23.04, 293206, $23.28, $23.5505, $22.86
02/01/2021, $23.27, 389704, $23.56, $23.61, $22.8001
01/29/2021, $23.58, 649471, $23.45, $23.74, $22.91
01/28/2021, $23.5, 1243855, $24.16, $24.63, $22.55
01/27/2021, $24.19, 826080, $23.5, $24.415, $23.05
01/26/2021, $23.55, 584675, $22.9, $23.7, $22.8101
01/25/2021, $23.07, 872685, $22.75, $23.4, $22.53
01/22/2021, $22.75, 399756, $22.4, $22.79, $22.18
01/21/2021, $22.5, 848775, $23.46, $23.51, $22.35
01/20/2021, $23.3, 638104, $22.39, $23.5, $22
01/19/2021, $21.79, 773644, $22.42, $22.455, $21.75
01/15/2021, $22.49, 460939, $23.37, $23.41, $22.35
01/14/2021, $23.14, 600712, $23, $23.72, $22.9601
01/13/2021, $23.06, 723357, $22.07, $23.12, $21.92
01/12/2021, $21.84, 635611, $22.06, $22.11, $21.014
01/11/2021, $21.91, 553242, $21.67, $21.96, $21.3907
01/08/2021, $21.62, 451384, $21.81, $21.9, $21.5
01/07/2021, $21.8, 528026, $21.81, $22.04, $21.42
01/06/2021, $21.57, 647207, $21.29, $21.92, $21.21
01/05/2021, $21.48, 300450, $21.8, $21.92, $21.33
01/04/2021, $21.84, 588279, $22.18, $22.32, $21.76
12/31/2020, $22.06, 306828, $22.2, $22.407, $21.92
12/30/2020, $22.26, 333494, $22.34, $22.69, $22.17
12/29/2020, $22.47, 646824, $21.81, $22.87, $21.81
12/28/2020, $21.81, 372938, $22.38, $22.38, $21.63
12/24/2020, $22.29, 158348, $22.38, $22.645, $22.25
12/23/2020, $22.38, 532356, $22.78, $22.94, $22.15
12/22/2020, $22.85, 1114125, $21.73, $22.94, $21.65
12/21/2020, $21.74, 918530, $21.67, $21.85, $21.185
12/18/2020, $21.96, 3338520, $22.55, $22.87, $21.78
12/17/2020, $22.54, 1224100, $21, $22.54, $20.94
12/16/2020, $21.07, 1416039, $20.8, $21.9, $20.7664
12/15/2020, $20.55, 1092162, $19.65, $20.89, $19.55
12/14/2020, $19.62, 681209, $19.12, $19.68, $19.11
12/11/2020, $19.08, 370326, $19.11, $19.32, $18.9
12/10/2020, $19.12, 497675, $19.24, $19.24, $18.96
12/09/2020, $19.23, 406223, $19.31, $19.44, $18.96
12/08/2020, $19.34, 698861, $19.6, $19.61, $19.11
12/07/2020, $19.63, 680828, $19.45, $19.9399, $19.41
12/04/2020, $19.44, 424005, $19.59, $19.62, $19.06
12/03/2020, $19.49, 630872, $19.37, $19.56, $19.13
12/02/2020, $18.83, 760654, $19.13, $19.61, $18.72
12/01/2020, $19.13, 1131937, $20.03, $20.21, $19.02
11/30/2020, $20.18, 1287201, $20.32, $20.35, $20.01
11/27/2020, $20.19, 251195, $20.01, $20.205, $20
11/25/2020, $19.85, 587506, $20.08, $20.28, $19.77
11/24/2020, $20.14, 1523134, $19.88, $20.5, $19.58
11/23/2020, $19.55, 1832255, $19.35, $20, $19.35
