Date, Close/Last, Volume, Open, High, Low
03/24/2021, $11.35, 1909899, $12.35, $12.39, $11.3
03/23/2021, $12.08, 1878377, $12.774, $12.95, $11.91
03/22/2021, $12.51, 2589383, $12.25, $13.17, $12.01
03/19/2021, $11.6, 856603, $11.508, $12.06, $11.29
03/18/2021, $11.47, 1418013, $11.85, $12.0399, $11.31
03/17/2021, $11.99, 1239811, $11.7, $12.18, $11.5
03/16/2021, $11.87, 1552729, $12.35, $12.4, $11.55
03/15/2021, $12.31, 1111799, $12.44, $12.58, $12.08
03/12/2021, $12.22, 1249978, $12.3, $12.45, $12.04
03/11/2021, $12.41, 1985600, $12.81, $12.81, $12.12
03/10/2021, $12.41, 2066280, $12.55, $12.96, $11.8
03/09/2021, $12.29, 1773541, $12.5, $12.7, $12.06
03/08/2021, $12, 2489166, $13.03, $13.2, $11.91
03/05/2021, $12.5, 3702612, $12.2, $12.55, $11.3
03/04/2021, $11.33, 6856171, $12.5, $12.63, $11.06
03/03/2021, $12.59, 5236729, $13.8, $14.1, $12.5
03/02/2021, $13.14, 10932300, $14.5, $15.15, $13.01
03/01/2021, $13.95, 40481650, $13.45, $15.1499, $12.71
02/26/2021, $10.25, 150112, $10.41, $10.517, $10.22
02/25/2021, $10.32, 130762, $10.51, $10.58, $10.2
02/24/2021, $10.44, 104160, $10.45, $10.66, $10.33
02/23/2021, $10.45, 162591, $10.56, $10.56, $10.05
02/22/2021, $10.7, 220483, $10.75, $10.79, $10.6
02/19/2021, $10.8, 165918, $10.75, $10.98, $10.73
02/18/2021, $10.98, 287079, $10.75, $10.99, $10.63
02/17/2021, $10.76, 209895, $10.6, $10.8, $10.5
02/16/2021, $10.48, 111328, $10.49, $10.55, $10.41
02/12/2021, $10.46, 283570, $10.5, $10.56, $10.41
02/11/2021, $10.52, 373097, $10.45, $11.21, $10.4
02/10/2021, $10.43, 91890, $10.45, $10.45, $10.35
02/09/2021, $10.39, 53459, $10.5, $10.5, $10.37
02/08/2021, $10.45, 67557, $10.51, $10.53, $10.45
02/05/2021, $10.52, 48174, $10.47, $10.54, $10.46
02/04/2021, $10.51, 73112, $10.59, $10.75, $10.45
02/03/2021, $10.62, 74322, $10.51, $10.63, $10.46
02/02/2021, $10.5, 50617, $10.37, $10.5, $10.36
02/01/2021, $10.35, 49920, $10.38, $10.44, $10.32
01/29/2021, $10.38, 57171, $10.35, $10.39, $10.3
01/28/2021, $10.39, 316672, $10.4, $10.42, $10.3
01/27/2021, $10.3, 336921, $10.3, $10.38, $10.2
01/26/2021, $10.45, 281633, $10.47, $10.57, $10.35
01/25/2021, $10.46, 101674, $10.59, $10.72, $10.43
01/22/2021, $10.5, 82242, $10.51, $10.68, $10.46
01/21/2021, $10.42, 16897, $10.49, $10.59, $10.34
01/20/2021, $10.4248, 54258, $10.33, $10.49, $10.33
01/19/2021, $10.4, 364135, $10.49, $10.49, $10.335
01/15/2021, $10.35, 543831, $10.45, $10.48, $10.25
01/14/2021, $10.5, 156662, $10.33, $10.6, $10.31
01/13/2021, $10.52, 419356, $10.6, $10.6, $10.275
01/12/2021, $10.31, 199635, $10.48, $10.67, $10.27
01/11/2021, $10.4, 3901, $10.45, $10.45, $10.3
01/08/2021, $10.42, 4145, $10.348, $10.42, $10.3
01/07/2021, $10.41, 629, $10.42, $10.42, $10.3769
01/06/2021, $10.38, 6245, $10.45, $10.45, $10.22
01/05/2021, $10.3525, 16221, $10.44, $10.6, $10.3525
01/04/2021, $10.3, 57588, $10.3, $10.65, $10.22
12/31/2020, $10.11, 131071, $10.68, $10.68, $10.11
12/30/2020, $10.42, 356187, $10.44, $10.69, $10.29
12/29/2020, $10.29, 96064, $10.38, $10.605, $9.97
12/28/2020, $10.32, 280215, $10.41, $10.4516, $10.32
12/24/2020, $10.3, 3141, $10.3485, $10.4999, $10.2896
12/23/2020, $10.25, 69484, $10.1, $10.33, $10.1
12/22/2020, $10.24, 41925, $10.25, $10.28, $10.15
12/21/2020, $10.23, 411006, $10.2, $10.33, $10.2
12/18/2020, $10.34, 27953, $10.2, $10.34, $10.15
12/17/2020, $10.3, 8234, $10.275, $10.5, $10.2
12/16/2020, $10.44, 4388, $10.5, $10.5665, $10.25
12/15/2020, $10.3412, 101231, $10.2237, $10.46, $10
12/14/2020, $10.3, 62784, $10.49, $11.04, $10.14
12/11/2020, $10.35, 269432, $10.35, $11.04, $10.13
12/10/2020, $10.25, 268544, $10.18, $10.25, $10.16
12/09/2020, $10.3, 213547, $10.21, $11.39, $10.2
12/08/2020, $10.19, 14329, $10.12, $10.2, $9.9
12/07/2020, $10.2, 187661, $10.1, $10.25, $10.05
12/04/2020, $10.06, 84105, $10.04, $10.1846, $9.99
12/03/2020, $10.05, 1160, $10.05, $10.05, $10.05
12/02/2020, $10.05, 78540, $10.11, $10.11, $9.97
12/01/2020, $9.97, 2049, $9.8734, $9.97, $9.8734
11/30/2020, $9.95, 53257, $9.82, $10.8, $9.72
11/27/2020, $9.82, 4516, $9.8, $9.82, $9.8
11/25/2020, $9.7441, N/A, $9.7441, $9.7441, $9.7441
11/24/2020, $9.7441, 900, $9.75, $9.75, $9.7441
11/23/2020, $12.8, N/A, $12.8, $12.8, $12.8
11/20/2020, $12.8, N/A, $12.8, $12.8, $12.8
11/19/2020, $12.8, N/A, $12.8, $12.8, $12.8
11/18/2020, $12.8, N/A, $12.8, $12.8, $12.8
11/17/2020, $12.8, N/A, $12.8, $12.8, $12.8
11/16/2020, $12.8, N/A, $12.8, $16, $9.6
