Date, Close/Last, Volume, Open, High, Low
03/24/2021, $10.1, 302834, $10.18, $10.2799, $10.07
03/23/2021, $10.14, 331146, $10.39, $10.415, $10.125
03/22/2021, $10.35, 228804, $10.51, $10.5399, $10.33
03/19/2021, $10.43, 205551, $10.62, $10.63, $10.4
03/18/2021, $10.57, 347561, $10.65, $10.76, $10.5
03/17/2021, $10.72, 460199, $11.19, $11.19, $10.6401
03/16/2021, $11.2, 677150, $11.7275, $11.7989, $11.1
03/15/2021, $11.83, 1909345, $10.9, $12.54, $10.75
03/12/2021, $11.24, 467217, $10.55, $11.38, $10.55
03/11/2021, $10.83, 370676, $10.97, $10.97, $10.63
03/10/2021, $10.75, 458877, $10.5, $10.95, $10.4
03/09/2021, $10.56, 332056, $10.52, $10.5911, $10.31
03/08/2021, $10.33, 340065, $10.59, $10.88, $10.3
03/05/2021, $10.6, 742872, $10.25, $10.74, $10.0301
03/04/2021, $10.19, 770808, $10.3, $10.4, $9.91
03/03/2021, $10.25, 765632, $10.8, $10.8, $10.23
03/02/2021, $10.7, 781658, $11.3, $11.35, $10.6
03/01/2021, $11.15, 332746, $11.34, $11.4, $11.09
02/26/2021, $11.14, 453711, $11.09, $11.45, $10.61
02/25/2021, $11.09, 556616, $11.62, $11.92, $10.89
02/24/2021, $11.67, 681813, $11.76, $12.14, $11.25
02/23/2021, $11.92, 1468621, $11.77, $11.92, $10.56
02/22/2021, $12.29, 841290, $12.33, $12.795, $12.26
02/19/2021, $12.32, 835169, $12.91, $13.31, $12.23
02/18/2021, $12.97, 896256, $12.32, $13.1, $12.3
02/17/2021, $12.53, 1080744, $12.15, $12.7, $12.12
02/16/2021, $12.11, 1141565, $12.65, $12.89, $12.03
02/12/2021, $12.44, 1344738, $12.7, $13.25, $12.2
02/11/2021, $12.83, 976943, $13.43, $13.51, $12.71
02/10/2021, $13.48, 890598, $13.6, $13.61, $13.03
02/09/2021, $13.41, 1170481, $13.95, $14.14, $13.39
02/08/2021, $13.9, 1676241, $14.95, $14.95, $13.89
02/05/2021, $14.7, 2076654, $14.55, $14.75, $13.78
02/04/2021, $14.82, 4119115, $15.17, $15.54, $14.33
02/03/2021, $16.35, 14611420, $16.31, $16.66, $14.62
02/02/2021, $10.94, 923263, $10.85, $10.9499, $10.77
02/01/2021, $10.72, 51116, $10.79, $10.8899, $10.5772
01/29/2021, $10.6, 142720, $10.59, $10.83, $10.5
01/28/2021, $10.6, 356339, $10.7, $11.1, $10.5
01/27/2021, $10.49, 285393, $10.55, $10.74, $10.48
01/26/2021, $10.78, 423800, $11.07, $11.07, $10.63
01/25/2021, $10.92, 318887, $10.8, $11.1, $10.63
01/22/2021, $10.68, 57221, $10.7, $10.78, $10.5877
01/21/2021, $10.73, 153648, $10.69, $10.78, $10.55
01/20/2021, $10.58, 298066, $10.55, $10.7, $10.54
01/19/2021, $10.55, 159988, $10.45, $10.6, $10.38
01/15/2021, $10.384, 57789, $10.57, $10.59, $10.35
01/14/2021, $10.45, 164490, $10.49, $10.52, $10.24
01/13/2021, $10.35, 97059, $10.3, $10.98, $10.1589
01/12/2021, $11.05, N/A, $11.05, $12, $10.1
