Date, Close/Last, Volume, Open, High, Low
01/20/2021, $1.84, 2673861, $1.79, $1.84, $1.73
01/19/2021, $1.84, 4022077, $1.88, $1.88, $1.81
01/15/2021, $1.89, 3045641, $1.86, $1.89, $1.83
01/14/2021, $1.89, 8294478, $1.81, $1.9, $1.8001
01/13/2021, $1.79, 9110986, $1.75, $1.83, $1.74
01/12/2021, $1.75, 6568111, $1.7, $1.76, $1.69
01/11/2021, $1.68, 2625180, $1.7, $1.71, $1.675
01/08/2021, $1.7, 1387207, $1.7, $1.71, $1.6601
01/07/2021, $1.7, 5863581, $1.63, $1.75, $1.63
01/06/2021, $1.65, 4028068, $1.62, $1.665, $1.61
01/05/2021, $1.61, 3912091, $1.57, $1.65, $1.56
01/04/2021, $1.57, 4099057, $1.52, $1.58, $1.52
12/31/2020, $1.51, 1016422, $1.52, $1.525, $1.51
12/30/2020, $1.52, 2899090, $1.52, $1.53, $1.49
12/29/2020, $1.52, 3709873, $1.57, $1.57, $1.51
12/28/2020, $1.56, 2384269, $1.58, $1.59, $1.55
12/24/2020, $1.61, 1196774, $1.61, $1.635, $1.59
12/23/2020, $1.62, 1950874, $1.56, $1.63, $1.56
12/22/2020, $1.59, 2987024, $1.58, $1.6, $1.55
12/21/2020, $1.56, 2083798, $1.55, $1.6, $1.55
12/18/2020, $1.55, 4310058, $1.64, $1.64, $1.55
12/17/2020, $1.65, 4055194, $1.56, $1.65, $1.55
12/16/2020, $1.57, 1907736, $1.62, $1.62, $1.56
12/15/2020, $1.63, 6243285, $1.59, $1.63, $1.57
12/14/2020, $1.6, 3291396, $1.57, $1.6, $1.55
12/11/2020, $1.55, 2551940, $1.56, $1.58, $1.54
12/10/2020, $1.57, 3836109, $1.55, $1.6, $1.53
12/09/2020, $1.55, 2049120, $1.63, $1.63, $1.53
12/08/2020, $1.6, 5632477, $1.59, $1.63, $1.56
12/07/2020, $1.6, 5296108, $1.5, $1.6, $1.49
12/04/2020, $1.48, 2966002, $1.47, $1.51, $1.47
12/03/2020, $1.48, 1713372, $1.47, $1.49, $1.47
12/02/2020, $1.48, 3294325, $1.47, $1.49, $1.46
12/01/2020, $1.47, 2340230, $1.48, $1.49, $1.45
11/30/2020, $1.45, 2135230, $1.5, $1.5, $1.45
11/27/2020, $1.5, 2087963, $1.5, $1.53, $1.46
11/25/2020, $1.5, 2132020, $1.48, $1.5, $1.47
11/24/2020, $1.47, 3440149, $1.49, $1.5, $1.47
11/23/2020, $1.47, 2617440, $1.47, $1.49, $1.45
11/20/2020, $1.45, 2219994, $1.45, $1.47, $1.44
11/19/2020, $1.44, 2656909, $1.47, $1.48, $1.44
11/18/2020, $1.47, 2262365, $1.49, $1.5, $1.46
11/17/2020, $1.47, 3231110, $1.43, $1.5, $1.42
11/16/2020, $1.44, 2279058, $1.45, $1.45, $1.4122
11/13/2020, $1.4, 7170166, $1.405, $1.41, $1.39
11/12/2020, $1.38, 3878004, $1.4, $1.43, $1.38
11/11/2020, $1.41, 4090740, $1.38, $1.42, $1.37
11/10/2020, $1.39, 8332823, $1.36, $1.39, $1.34
11/09/2020, $1.33, 11211110, $1.4, $1.415, $1.31
11/06/2020, $1.35, 2054242, $1.37, $1.38, $1.34
11/05/2020, $1.37, 1601665, $1.38, $1.39, $1.37
11/04/2020, $1.37, 3283391, $1.37, $1.39, $1.37
11/03/2020, $1.36, 5075726, $1.34, $1.38, $1.33
11/02/2020, $1.33, 2750944, $1.23, $1.33, $1.23
10/30/2020, $1.25, 3837443, $1.22, $1.25, $1.2
10/29/2020, $1.21, 2520943, $1.24, $1.24, $1.2
10/28/2020, $1.22, 4532308, $1.25, $1.26, $1.2
10/27/2020, $1.27, 3635273, $1.29, $1.3, $1.26
10/26/2020, $1.28, 1792557, $1.28, $1.3, $1.28
10/23/2020, $1.3, 1985178, $1.31, $1.32, $1.29
10/22/2020, $1.29, 2426373, $1.29, $1.3, $1.27
10/21/2020, $1.29, 3382980, $1.29, $1.32, $1.27
10/20/2020, $1.31, 1350862, $1.35, $1.36, $1.31
10/19/2020, $1.32, 1729633, $1.33, $1.34, $1.31
10/16/2020, $1.34, 1114663, $1.32, $1.34, $1.3
10/15/2020, $1.32, 1336604, $1.33, $1.35, $1.3
10/14/2020, $1.35, 3375172, $1.4, $1.4, $1.35
10/13/2020, $1.36, 2825533, $1.39, $1.41, $1.34
10/12/2020, $1.4, 2780339, $1.36, $1.4, $1.35
10/09/2020, $1.36, 4569298, $1.3, $1.36, $1.3
10/08/2020, $1.29, 2013460, $1.3, $1.32, $1.29
10/07/2020, $1.3, 2372107, $1.29, $1.31, $1.28
10/06/2020, $1.28, 4694543, $1.27, $1.34, $1.26
10/05/2020, $1.26, 2379533, $1.26, $1.26, $1.25
10/02/2020, $1.25, 2043977, $1.25, $1.26, $1.24
10/01/2020, $1.25, 3244216, $1.26, $1.275, $1.24
09/30/2020, $1.26, 2006964, $1.27, $1.28, $1.25
09/29/2020, $1.25, 2070223, $1.29, $1.29, $1.25
09/28/2020, $1.27, 3132254, $1.29, $1.3, $1.27
09/25/2020, $1.28, 1928106, $1.27, $1.285, $1.2618
09/24/2020, $1.3, 5672806, $1.3, $1.31, $1.25
09/23/2020, $1.3, 3046447, $1.36, $1.37, $1.3
09/22/2020, $1.35, 5575385, $1.36, $1.37, $1.33
09/21/2020, $1.33, 4501105, $1.35, $1.36, $1.29
09/18/2020, $1.38, 32384130, $1.37, $1.39, $1.34
09/17/2020, $1.35, 7714355, $1.28, $1.36, $1.26
09/16/2020, $1.28, 5107643, $1.24, $1.31, $1.23
09/15/2020, $1.24, 4528075, $1.25, $1.2582, $1.21
09/14/2020, $1.23, 10885920, $1.26, $1.28, $1.22
09/11/2020, $1.29, 5010114, $1.27, $1.29, $1.26
09/10/2020, $1.26, 4348501, $1.27, $1.29, $1.25
09/09/2020, $1.26, 5106092, $1.29, $1.3, $1.25
09/08/2020, $1.25, 5292445, $1.3, $1.32, $1.25
09/04/2020, $1.3, 8378459, $1.35, $1.35, $1.26
09/03/2020, $1.3, 6011549, $1.33, $1.35, $1.28
09/02/2020, $1.36, 9679580, $1.35, $1.3658, $1.28
09/01/2020, $1.36, 15829480, $1.39, $1.4, $1.32
08/31/2020, $1.42, 7812144, $1.45, $1.4521, $1.32
08/28/2020, $1.44, 1839668, $1.45, $1.46, $1.43
08/27/2020, $1.45, 5369792, $1.48, $1.49, $1.43
08/26/2020, $1.47, 2761417, $1.5, $1.5, $1.45
08/25/2020, $1.48, 2401836, $1.55, $1.55, $1.48
08/24/2020, $1.53, 2364164, $1.51, $1.55, $1.5
08/21/2020, $1.51, 2426321, $1.48, $1.51, $1.46
08/20/2020, $1.49, 2677308, $1.52, $1.53, $1.48
08/19/2020, $1.53, 2832263, $1.54, $1.55, $1.51
08/18/2020, $1.54, 3771035, $1.56, $1.57, $1.53
08/17/2020, $1.56, 8355800, $1.55, $1.56, $1.55
08/14/2020, $1.55, 4321050, $1.54, $1.56, $1.54
08/13/2020, $1.56, 1576580, $1.57, $1.58, $1.55
08/12/2020, $1.57, 2307533, $1.565, $1.6, $1.56
08/11/2020, $1.56, 3105693, $1.595, $1.595, $1.54
08/10/2020, $1.56, 2550524, $1.57, $1.58, $1.55
08/07/2020, $1.57, 2137089, $1.54, $1.57, $1.54
08/06/2020, $1.57, 10910080, $1.6, $1.61, $1.53
08/05/2020, $1.7, 1797504, $1.72, $1.72, $1.68
08/04/2020, $1.7, 1788953, $1.68, $1.73, $1.67
08/03/2020, $1.68, 2973316, $1.713, $1.72, $1.66
07/31/2020, $1.69, 8157366, $1.8, $1.8, $1.68
07/30/2020, $1.71, 3040799, $1.71, $1.74, $1.69
07/29/2020, $1.72, 1868112, $1.74, $1.75, $1.69
07/28/2020, $1.71, 1706791, $1.75, $1.75, $1.71
07/27/2020, $1.78, 4634336, $1.73, $1.78, $1.68
07/24/2020, $1.74, 6696602, $1.72, $1.755, $1.67
07/23/2020, $1.71, 10649820, $1.73, $1.7414, $1.63
07/22/2020, $1.75, 1288033, $1.78, $1.78, $1.74
07/21/2020, $1.76, 1525107, $1.76, $1.8, $1.76
07/20/2020, $1.75, 3625698, $1.81, $1.825, $1.74
07/17/2020, $1.82, 1765629, $1.83, $1.84, $1.8
07/16/2020, $1.82, 2827887, $1.8, $1.85, $1.8
07/15/2020, $1.85, 4593451, $1.79, $1.87, $1.78
07/14/2020, $1.79, 3999646, $1.77, $1.805, $1.76
07/13/2020, $1.77, 2829039, $1.775, $1.79, $1.76
07/10/2020, $1.78, 3651204, $1.77, $1.79, $1.77
07/09/2020, $1.77, 6143438, $1.79, $1.8, $1.75
07/08/2020, $1.79, 2308849, $1.8, $1.81, $1.78
07/07/2020, $1.81, 4137359, $1.78, $1.82, $1.78
