Date, Close/Last, Volume, Open, High, Low
01/20/2021, $8.93, 1104947, $8.89, $9.22, $8.81
01/19/2021, $8.88, 1286107, $9.289, $9.4, $8.87
01/15/2021, $8.895, 3582803, $9.75, $9.75, $8.5
01/14/2021, $9.66, 3458283, $9.2, $10.0226, $9.07
01/13/2021, $9.2, 1450956, $9.46, $9.53, $9.11
01/12/2021, $9.51, 2392776, $9.64, $9.75, $9.13
01/11/2021, $9.76, 2819919, $9.45, $10.3, $9.3614
01/08/2021, $9.55, 2223185, $9.85, $9.87, $9.31
01/07/2021, $9.7, 3283914, $9.51, $9.74, $9.1625
01/06/2021, $9.23, 5271784, $9.354, $9.85, $9.032
01/05/2021, $9.49, 11719020, $7.9229, $9.7, $7.7695
01/04/2021, $8.05, 2846765, $8.55, $8.56, $7.85
12/31/2020, $8.65, 2799539, $8.63, $8.75, $8.45
12/30/2020, $8.6, 1496143, $8.62, $8.856, $8.5722
12/29/2020, $8.61, 2366846, $9.008, $9.04, $8.47
12/28/2020, $9.06, 2412348, $8.84, $9.15, $8.71
12/24/2020, $8.67, 1875301, $9.15, $9.15, $8.65
12/23/2020, $9.13, 2907205, $9.23, $9.3, $8.8142
12/22/2020, $9.29, 3760942, $9.12, $9.47, $8.88
12/21/2020, $8.86, 4772078, $8.4, $9.13, $8.33
12/18/2020, $8.805, 7793499, $8.981, $9.23, $8.61
12/17/2020, $9.3, 11618450, $9.93, $10.02, $9.02
12/16/2020, $9.99, 45957280, $9.66, $11.16, $9.33
12/15/2020, $9.33, 65282820, $11.4, $11.45, $8.84
12/14/2020, $9.695, 134631800, $9.87, $10.83, $8.51
12/11/2020, $6.355, 30216090, $5.75, $7.5, $4.71
12/10/2020, $5.97, 52528370, $4.833, $7.86, $4.34
12/09/2020, $3.89, 5033802, $3.31, $4.2471, $3.29
12/08/2020, $3.245, 553781, $3.36, $3.36, $3.21
12/07/2020, $3.35, 350913, $3.3, $3.395, $3.29
12/04/2020, $3.3, 277938, $3.3, $3.33, $3.22
12/03/2020, $3.28, 597138, $3.2, $3.33, $3.135
12/02/2020, $3.08, 312190, $3.03, $3.1, $2.95
12/01/2020, $3.03, 150664, $3.03, $3.07, $2.97
11/30/2020, $3.04, 237781, $3.08, $3.085, $3
11/27/2020, $3.075, 131415, $3.05, $3.08, $2.95
11/25/2020, $3.02, 174052, $2.99, $3.06, $2.95
11/24/2020, $2.99, 398083, $3.14, $3.16, $2.94
11/23/2020, $3.1, 259022, $3.06, $3.115, $3.01
11/20/2020, $3.04, 303775, $2.85, $3.05, $2.8334
11/19/2020, $2.87, 202008, $2.85, $2.91, $2.8
11/18/2020, $2.85, 581882, $2.83, $2.91, $2.7801
11/17/2020, $2.81, 548901, $2.75, $2.87, $2.64
11/16/2020, $2.74, 201841, $2.78, $2.79, $2.7
11/13/2020, $2.75, 295196, $2.76, $2.785, $2.685
11/12/2020, $2.74, 425021, $2.76, $2.865, $2.67
11/11/2020, $2.79, 1101881, $2.55, $2.87, $2.53
11/10/2020, $2.51, 212668, $2.53, $2.57, $2.5
11/09/2020, $2.5, 406862, $2.5, $2.59, $2.49
11/06/2020, $2.48, 134434, $2.51, $2.51, $2.47
11/05/2020, $2.5, 163690, $2.48, $2.52, $2.47
11/04/2020, $2.5, 138353, $2.46, $2.54, $2.46
11/03/2020, $2.51, 139738, $2.47, $2.52, $2.45
11/02/2020, $2.47, 282146, $2.52, $2.54, $2.36
10/30/2020, $2.52, 266018, $2.51, $2.55, $2.4852
10/29/2020, $2.53, 361496, $2.4, $2.53, $2.3
10/28/2020, $2.36, 143936, $2.42, $2.43, $2.34
10/27/2020, $2.45, 102084, $2.44, $2.5, $2.42
10/26/2020, $2.45, 80739, $2.45, $2.485, $2.42
10/23/2020, $2.46, 178895, $2.45, $2.48, $2.4
10/22/2020, $2.43, 129244, $2.43, $2.47, $2.425
10/21/2020, $2.43, 168393, $2.49, $2.55, $2.43
10/20/2020, $2.47, 123035, $2.51, $2.53, $2.46
10/19/2020, $2.51, 265621, $2.58, $2.6, $2.51
10/16/2020, $2.56, 151970, $2.61, $2.625, $2.55
10/15/2020, $2.63, 204718, $2.53, $2.63, $2.53
10/14/2020, $2.58, 197192, $2.67, $2.7, $2.56
