Date, Close/Last, Volume, Open, High, Low
01/20/2021, $35.46, 134264, $36.13, $36.37, $34.52
01/19/2021, $36.09, 194795, $36.79, $36.89, $35.25
01/15/2021, $36.09, 163058, $36.31, $37.04, $35.03
01/14/2021, $36.65, 131179, $36.29, $37.455, $35.81
01/13/2021, $36.25, 167400, $37.91, $37.91, $35.78
01/12/2021, $37.78, 125837, $37.87, $38.52, $37
01/11/2021, $37.74, 117697, $39.52, $39.595, $37.3
01/08/2021, $39.24, 109906, $39.28, $40, $38.14
01/07/2021, $38.92, 155012, $38.35, $40.1, $38.35
01/06/2021, $37.84, 168716, $36.92, $38.95, $36.75
01/05/2021, $36.89, 126317, $36.73, $37.28, $36.25
01/04/2021, $36.63, 205611, $36.03, $37.62, $35.7
12/31/2020, $35.97, 162114, $37.27, $37.56, $35.41
12/30/2020, $37.19, 107923, $36.45, $37.95, $36.15
12/29/2020, $36.36, 115973, $37.44, $37.51, $35.9591
12/28/2020, $37, 288086, $37.27, $38.1, $36.42
12/24/2020, $36.52, 51283, $37.95, $37.95, $36.52
12/23/2020, $36.77, 177079, $36.44, $37.52, $35.77
12/22/2020, $36.01, 259137, $34.5, $36.14, $34.36
12/21/2020, $34.15, 372386, $33.85, $34.995, $32.86
12/18/2020, $34.99, 1627810, $38.12, $38.12, $34.4
12/17/2020, $37.75, 240876, $37.515, $39.23, $37.33
12/16/2020, $38.42, 193557, $39.99, $40.495, $38.28
12/15/2020, $39.9, 204979, $38.465, $40.19, $37.96
12/14/2020, $39.34, 367715, $40.89, $41.61, $39.0466
12/11/2020, $39.92, 375081, $39.8, $41.17, $38.0095
12/10/2020, $39.86, 192605, $38.46, $40.31, $37.9
12/09/2020, $38.51, 149588, $39.59, $39.59, $37.77
12/08/2020, $39.16, 207413, $37.275, $39.33, $37.275
12/07/2020, $38.56, 138224, $40.295, $40.5, $38.29
12/04/2020, $39.75, 371470, $38.8, $40.33, $38.505
12/03/2020, $39.37, 322715, $40.28, $40.81, $38.58
12/02/2020, $39.99, 114028, $39.22, $40.28, $38.0525
12/01/2020, $39.72, 100266, $37.94, $40.29, $37.94
11/30/2020, $38.34, 154995, $39.8, $39.8, $37.38
11/27/2020, $39.47, 77604, $38.3, $39.94, $37.76
11/25/2020, $37.8, 92703, $36.66, $38.97, $35.8
11/24/2020, $36.41, 226857, $35.37, $36.66, $34.21
11/23/2020, $34.76, 209218, $35.65, $35.69, $34.43
11/20/2020, $34.98, 191721, $34.48, $35.36, $33.49
11/19/2020, $34.9, 163145, $33.95, $35.68, $33.28
11/18/2020, $33.62, 76058, $35.1, $35.21, $33.46
11/17/2020, $34.74, 66235, $35.12, $35.37, $34.145
11/16/2020, $34.99, 106311, $34.15, $35.2, $33.64
11/13/2020, $33.92, 109389, $33.4, $35.165, $33.4
11/12/2020, $33.09, 178595, $34.8, $35.685, $32.14
11/11/2020, $35.27, 234176, $33.41, $36.265, $33.06
11/10/2020, $37, 215350, $37.28, $38.045, $35.72
11/09/2020, $36.75, 221956, $37.88, $39.59, $36.44
