Date, Close/Last, Volume, Open, High, Low
01/20/2021, $23, 6444777, $22.39, $23.09, $21.34
01/19/2021, $22.34, 5440202, $23.33, $23.78, $22.09
01/15/2021, $22.95, 3481054, $23.607, $24.25, $22.58
01/14/2021, $24.07, 4644272, $24.3, $24.67, $23.15
01/13/2021, $23.91, 6215738, $23.4, $24.2, $22.66
01/12/2021, $23.26, 5052212, $22.895, $23.66, $22.56
01/11/2021, $23.16, 5931185, $23.55, $24.4, $22.81
01/08/2021, $23.94, 13281280, $24.6, $26.61, $23.66
01/07/2021, $25.82, 7628582, $23.4, $26.2, $23.08
01/06/2021, $22.69, 4758763, $23, $23.77, $22.1
01/05/2021, $22.67, 2795760, $21.35, $22.72, $21.314
01/04/2021, $21.91, 5573975, $23.2, $23.65, $21.2
12/31/2020, $22.82, 6312319, $24.2, $24.2, $22.7
12/30/2020, $24.5, 7110204, $23.225, $24.64, $23.225
12/29/2020, $22.87, 10932600, $22.85, $23.96, $20.92
12/28/2020, $22.59, 8007909, $25.4, $25.45, $22.5
12/24/2020, $24.68, 6993848, $26.05, $26.32, $23.7
12/23/2020, $26.5, 10641520, $27.5177, $27.6342, $25.01
12/22/2020, $27.38, 37230100, $27.99, $30.8065, $25.57
12/21/2020, $24.68, 17743680, $19.72, $25.44, $19.7
12/18/2020, $20.07, 8451154, $20.81, $20.97, $19.7
12/17/2020, $20.65, 6935221, $20.84, $21.4, $20.02
12/16/2020, $20.58, 8818394, $20.05, $21.08, $19.7
12/15/2020, $19.44, 17135460, $20.62, $22.2399, $19.23
12/14/2020, $19.1, 6781877, $19.42, $19.97, $18.95
12/11/2020, $18.325, 8394017, $19.865, $20.35, $18.0143
12/10/2020, $20.15, 7396014, $18.94, $20.68, $18.48
12/09/2020, $19.91, 20214170, $22.41, $22.99, $19.01
12/08/2020, $20.84, 30969820, $20.44, $22.3, $19.3
12/07/2020, $18.81, 18101020, $15.45, $18.99, $15.45
12/04/2020, $15.12, 11834550, $15.658, $17.115, $15.05
12/03/2020, $15, 4165406, $15.19, $16.16, $14.66
12/02/2020, $14.63, 4095352, $14.6, $14.8, $14
12/01/2020, $15.12, 3055606, $16.23, $16.26, $14.82
11/30/2020, $15.92, 2926490, $16.8, $16.9713, $15.21
11/27/2020, $16.06, 1975975, $15.731, $16.33, $15.7
11/25/2020, $15.52, 2309810, $15.883, $16.04, $15.235
11/24/2020, $16.17, 3340766, $17.497, $17.5, $15.81
11/23/2020, $16.74, 2897048, $17.04, $17.25, $16.35
11/20/2020, $16.36, 2261716, $16.82, $17.07, $16.26
11/19/2020, $16.26, 1487448, $16.16, $16.79, $16.04
11/18/2020, $15.9, 1535861, $16.39, $16.7, $15.78
11/17/2020, $16.25, 2996001, $16.3, $16.74, $15.775
11/16/2020, $15.52, 1898922, $14.94, $15.7, $14.615
11/13/2020, $14.51, 1603073, $13.63, $14.61, $13.63
11/12/2020, $13.505, 873322, $13.74, $13.9321, $13.25
11/11/2020, $13.66, 1214050, $13.3, $13.97, $13.06
11/10/2020, $12.86, 1751269, $13.31, $13.5, $12.5669
11/09/2020, $13.04, 3198298, $14.44, $14.78, $12.84
11/06/2020, $13.87, 2358059, $14.95, $15.73, $13.85
11/05/2020, $14.94, 3072736, $13.21, $15.03, $13.04
11/04/2020, $12.86, 1547995, $13.11, $13.55, $12.7288
11/03/2020, $12.81, 1260489, $12.4, $13.04, $12.4
11/02/2020, $12.26, 1058037, $12.55, $13.05, $12.15
10/30/2020, $12.23, 1992301, $12.98, $13.18, $11.8
10/29/2020, $13.17, 1472760, $12.91, $13.65, $12.8
10/28/2020, $12.81, 1473822, $13.6, $13.75, $12.79
10/27/2020, $13.96, 1303968, $13.99, $14.72, $13.82
10/26/2020, $13.99, 2606452, $13.05, $14.83, $12.8
10/23/2020, $13.18, 950327, $13.594, $13.76, $12.95
10/22/2020, $13.34, 3299136, $12.91, $14.2338, $12.41
