Date, Close/Last, Volume, Open, High, Low
03/24/2021, $13.64, 354267, $14.16, $14.58, $13.64
03/23/2021, $14.07, 491232, $14.48, $14.64, $13.79
03/22/2021, $14.71, 324799, $14.65, $14.89, $14.1619
03/19/2021, $14.72, 453114, $15.05, $15.21, $14.69
03/18/2021, $15.05, 404427, $15.91, $16.1, $15.05
03/17/2021, $16, 343900, $15.58, $16.01, $15.4
03/16/2021, $15.72, 555121, $15.93, $16, $15.52
03/15/2021, $15.87, 594722, $15.63, $16.28, $15.39
03/12/2021, $15.62, 3116076, $16.09, $16.12, $15.1372
03/11/2021, $16.27, 613511, $16.47, $16.78, $16.045
03/10/2021, $16.4, 930542, $15.81, $16.52, $15.81
03/09/2021, $15.8, 700280, $15.3, $16.06, $15.06
03/08/2021, $15.41, 1000217, $15.05, $15.6, $14.855
03/05/2021, $15.18, 946379, $15.62, $15.62, $14.76
03/04/2021, $15.24, 689196, $15.82, $16.13, $14.81
03/03/2021, $15.7, 567314, $15.65, $15.88, $15.43
03/02/2021, $15.73, 669762, $15.39, $15.88, $15
03/01/2021, $15.58, 716172, $15.33, $16.065, $15.3
02/26/2021, $14.88, 414583, $14.82, $15.22, $14.55
02/25/2021, $14.78, 366732, $15.4, $15.59, $14.65
02/24/2021, $15.48, 396274, $15.5, $15.6, $15.34
02/23/2021, $15.54, 533938, $15, $15.65, $14.35
02/22/2021, $14.73, 805510, $15.37, $16.39, $14.64
02/19/2021, $14.79, 1217953, $13.35, $14.85, $13.3
02/18/2021, $13.81, 735166, $14, $14.18, $13.71
02/17/2021, $14.13, 410964, $13.77, $14.17, $13.535
02/16/2021, $13.91, 676686, $13.8, $14.25, $13.66
02/12/2021, $13.6, 189604, $13.26, $13.61, $13.241
02/11/2021, $13.22, 718358, $13.1, $13.47, $13.0235
02/10/2021, $13.09, 196234, $13, $13.24, $12.9
02/09/2021, $12.92, 232152, $12.91, $12.97, $12.69
02/08/2021, $12.86, 786793, $12.67, $12.995, $12.49
02/05/2021, $12.6, 323521, $12.67, $12.67, $12.04
02/04/2021, $12.5, 789829, $12.32, $12.79, $12.31
02/03/2021, $12.27, 480307, $12.31, $12.77, $12.14
02/02/2021, $12.18, 370508, $12.26, $12.265, $11.96
02/01/2021, $12.06, 293294, $11.37, $12.08, $11.25
01/29/2021, $11.28, 356096, $11.6, $11.7086, $11.18
01/28/2021, $11.75, 590007, $10.75, $11.82, $10.62
01/27/2021, $10.92, 356237, $11.3, $11.4, $10.7436
01/26/2021, $11.46, 378076, $11.4, $11.78, $11.24
01/25/2021, $11.26, 684159, $11.58, $11.75, $10.7997
01/22/2021, $11.17, 217353, $11, $11.19, $10.97
01/21/2021, $11.15, 226700, $11.43, $11.51, $10.96
01/20/2021, $11.41, 238712, $11.48, $11.65, $11.28
01/19/2021, $11.48, 357127, $11.75, $11.75, $11.23
01/15/2021, $11.58, 321285, $11.65, $11.78, $11.4
01/14/2021, $11.82, 274926, $11.72, $12, $11.61
01/13/2021, $11.58, 322094, $11.65, $11.69, $11.47
01/12/2021, $11.62, 570241, $11.84, $11.84, $11.45
01/11/2021, $11.53, 226217, $11.79, $12.04, $11.43
01/08/2021, $11.84, 349913, $11.89, $12.16, $11.76
01/07/2021, $11.88, 211205, $12.38, $12.38, $11.88
01/06/2021, $12.26, 254267, $12.01, $12.38, $11.83
01/05/2021, $11.74, 195368, $11.66, $12.03, $11.65
01/04/2021, $11.86, 393329, $12.42, $12.61, $11.66
12/31/2020, $12.42, 413990, $11.99, $12.55, $11.9
12/30/2020, $12.03, 595245, $11.93, $12.14, $11.74
12/29/2020, $11.83, 559754, $11.48, $11.88, $11.37
12/28/2020, $11.28, 429058, $11.1, $11.35, $11
12/24/2020, $11.04, 280528, $11.24, $11.31, $10.99
12/23/2020, $11.18, 516386, $11.01, $11.49, $10.9
12/22/2020, $10.96, 503939, $10.98, $11.04, $10.62
12/21/2020, $10.84, 843015, $11.13, $11.13, $10.44
12/18/2020, $11.35, 637644, $11.68, $11.82, $11.16
12/17/2020, $11.73, 782552, $11.97, $12, $11.67
12/16/2020, $11.86, 539240, $11.47, $11.9, $11.365
12/15/2020, $11.47, 318540, $11.35, $11.5, $11.1
12/14/2020, $11.26, 388387, $11.53, $11.6, $10.955
12/11/2020, $11.19, 799489, $11.3, $11.3681, $10.86
12/10/2020, $11.37, 1517834, $11.5, $11.93, $11.25
12/09/2020, $11.4, 4729611, $12.78, $13.48, $11.21
12/08/2020, $12, 990948, $11.28, $12.5, $11.02
12/07/2020, $11.81, 340638, $11.26, $11.88, $11.1705
12/04/2020, $11.3, 984005, $11.38, $11.43, $11.17
12/03/2020, $11.35, 609489, $11.74, $11.79, $11.28
12/02/2020, $11.2, 284622, $11.06, $11.45, $10.8342
12/01/2020, $11.06, 242640, $10.61, $11.24, $10.61
11/30/2020, $10.46, 309942, $10.8, $10.9627, $10.43
11/27/2020, $10.82, 140311, $10.76, $11.19, $10.62
11/25/2020, $10.69, 185379, $10.75, $10.77, $10.32
11/24/2020, $10.68, 178290, $10.65, $10.89, $10.52
11/23/2020, $10.45, 286588, $10.6, $10.62, $10.33
11/20/2020, $10.37, 216472, $10.32, $10.5, $10.08
11/19/2020, $10.36, 269520, $10.11, $10.6, $10.04
11/18/2020, $10.07, 650304, $10.68, $10.81, $9.97
11/17/2020, $10.59, 282173, $10.7, $10.7, $10.07
11/16/2020, $10.83, 833469, $9.85, $10.98, $9.85
11/13/2020, $9.6, 382199, $9.3, $9.68, $9.22
11/12/2020, $9.24, 504523, $9.92, $9.92, $9.21
11/11/2020, $9.99, 405575, $10.05, $10.14, $9.76
11/10/2020, $10.02, 468019, $9.46, $10.2, $9.46
