Date, Close/Last, Volume, Open, High, Low
01/20/2021, $11.01, 146688, $10.94, $11.02, $10.94
01/19/2021, $10.92, 138717, $10.93, $10.95, $10.91
01/15/2021, $10.9, 170312, $10.89, $10.95, $10.86
01/14/2021, $10.91, 244397, $10.9, $10.95, $10.89
01/13/2021, $10.92, 247624, $10.91, $10.95, $10.9
01/12/2021, $10.9, 312902, $10.86, $10.91, $10.8599
01/11/2021, $10.84, 174304, $10.78, $10.88, $10.77
01/08/2021, $10.8, 123550, $10.81, $10.865, $10.78
01/07/2021, $10.81, 233748, $10.71, $10.81, $10.71
01/06/2021, $10.71, 716302, $10.78, $10.804, $10.71
01/05/2021, $10.79, 265760, $10.7, $10.81, $10.67
01/04/2021, $10.7, 443893, $10.74, $10.75, $10.7
12/31/2020, $10.74, 361065, $10.67, $10.75, $10.64
12/30/2020, $10.63, 277092, $10.54, $10.63, $10.54
12/29/2020, $10.54, 260655, $10.54, $10.55, $10.47
12/28/2020, $10.52, 261753, $10.49, $10.54, $10.49
12/24/2020, $10.49, 100715, $10.44, $10.5, $10.43
12/23/2020, $10.41, 350843, $10.42, $10.4832, $10.4
12/22/2020, $10.4, 303235, $10.39, $10.45, $10.38
12/21/2020, $10.39, 252384, $10.38, $10.43, $10.3373
12/18/2020, $10.43, 302769, $10.42, $10.4417, $10.38
12/17/2020, $10.38, 403210, $10.41, $10.46, $10.38
12/16/2020, $10.41, 584135, $10.35, $10.42, $10.33
12/15/2020, $10.33, 383501, $10.3, $10.34, $10.294
12/14/2020, $10.27, 277259, $10.23, $10.31, $10.21
12/11/2020, $10.29, 365873, $10.35, $10.406, $10.26
12/10/2020, $10.39, 488005, $10.4, $10.44, $10.34
12/09/2020, $10.44, 423751, $10.41, $10.48, $10.41
12/08/2020, $10.4, 152150, $10.37, $10.44, $10.37
12/07/2020, $10.38, 193972, $10.43, $10.5, $10.38
12/04/2020, $10.41, 244794, $10.4, $10.48, $10.4
12/03/2020, $10.39, 189484, $10.34, $10.417, $10.3309
12/02/2020, $10.31, 283649, $10.38, $10.45, $10.3
12/01/2020, $10.38, 263681, $10.35, $10.4, $10.325
11/30/2020, $10.32, 347612, $10.27, $10.33, $10.26
11/27/2020, $10.25, 118109, $10.18, $10.26, $10.18
11/25/2020, $10.18, 210128, $10.13, $10.19, $10.115
11/24/2020, $10.11, 229218, $10, $10.11, $10
11/23/2020, $9.98, 147056, $9.99, $10.0099, $9.96
11/20/2020, $9.97, 251507, $9.93, $10, $9.93
11/19/2020, $9.95, 398307, $9.9, $9.95, $9.9
11/18/2020, $9.91, 174804, $9.87, $9.94, $9.87
11/17/2020, $9.88, 220549, $9.78, $9.88, $9.78
11/16/2020, $9.8, 186338, $9.8, $9.85, $9.76
11/13/2020, $9.76, 156098, $9.76, $9.78, $9.74
11/12/2020, $9.73, 154523, $9.69, $9.75, $9.65
11/11/2020, $9.75, 194950, $9.73, $9.78, $9.7139
11/10/2020, $9.7, 255311, $9.67, $9.74, $9.63
11/09/2020, $9.7, 260769, $9.7, $9.77, $9.675
11/06/2020, $9.56, 384439, $9.54, $9.58, $9.53
11/05/2020, $9.52, 158209, $9.43, $9.5499, $9.43
11/04/2020, $9.43, 140605, $9.37, $9.458, $9.37
11/03/2020, $9.31, 194872, $9.28, $9.35, $9.2791
11/02/2020, $9.26, 731342, $9.24, $9.34, $9.23
10/30/2020, $9.25, 288596, $9.22, $9.285, $9.16
10/29/2020, $9.23, 112981, $9.2, $9.26, $9.2
10/28/2020, $9.21, 151907, $9.31, $9.31, $9.18
10/27/2020, $9.35, 124144, $9.29, $9.37, $9.28
10/26/2020, $9.33, 310211, $9.28, $9.36, $9.23
10/23/2020, $9.31, 213943, $9.33, $9.35, $9.31
10/22/2020, $9.33, 146253, $9.34, $9.36, $9.31
10/21/2020, $9.34, 366514, $9.34, $9.42, $9.33
10/20/2020, $9.37, 486757, $9.33, $9.37, $9.3112
10/19/2020, $9.32, 353750, $9.38, $9.39, $9.28
10/16/2020, $9.35, 326883, $9.34, $9.38, $9.32
10/15/2020, $9.35, 171273, $9.41, $9.41, $9.29
10/14/2020, $9.41, 342160, $9.44, $9.47, $9.41
10/13/2020, $9.5, 246503, $9.55, $9.55, $9.47
10/12/2020, $9.54, 134278, $9.5, $9.5462, $9.465
10/09/2020, $9.5, 336397, $9.44, $9.5, $9.4
10/08/2020, $9.43, 324753, $9.38, $9.435, $9.38
10/07/2020, $9.37, 463217, $9.32, $9.43, $9.31
10/06/2020, $9.27, 176676, $9.26, $9.315, $9.25
10/05/2020, $9.26, 166778, $9.2, $9.28, $9.195
10/02/2020, $9.2, 412855, $9.19, $9.22, $9.15
10/01/2020, $9.21, 304467, $9.2, $9.24, $9.18
09/30/2020, $9.21, 271946, $9.24, $9.25, $9.1725
09/29/2020, $9.22, 248892, $9.25, $9.25, $9.16
09/28/2020, $9.27, 173077, $9.21, $9.275, $9.21
09/25/2020, $9.19, 243029, $9.14, $9.2, $9.1
09/24/2020, $9.17, 824288, $9.17, $9.21, $9.12
09/23/2020, $9.21, 247571, $9.27, $9.28, $9.13
09/22/2020, $9.26, 103863, $9.27, $9.29, $9.24
09/21/2020, $9.25, 174610, $9.3, $9.3, $9.23
09/18/2020, $9.326, 111630, $9.29, $9.33, $9.29
09/17/2020, $9.27, 206796, $9.32, $9.326, $9.25
09/16/2020, $9.34, 148505, $9.31, $9.34, $9.29
09/15/2020, $9.31, 126918, $9.32, $9.32, $9.2801
09/14/2020, $9.3, 241951, $9.27, $9.32, $9.2474
09/11/2020, $9.3, 189075, $9.28, $9.3, $9.26
09/10/2020, $9.27, 143194, $9.3, $9.3, $9.22
09/09/2020, $9.29, 156187, $9.16, $9.29, $9.16
09/08/2020, $9.16, 213059, $9.16, $9.17, $9.09
09/04/2020, $9.2, 153368, $9.15, $9.2, $9.11
09/03/2020, $9.18, 297487, $9.29, $9.295, $9.12
09/02/2020, $9.3, 491466, $9.17, $9.32, $9.15
09/01/2020, $9.16, 287555, $9.09, $9.16, $9.09
08/31/2020, $9.06, 319782, $9.14, $9.14, $9.06
08/28/2020, $9.11, 245879, $9.11, $9.1399, $9.09
08/27/2020, $9.12, 518038, $9.12, $9.14, $9.09
08/26/2020, $9.12, 102431, $9.12, $9.125, $9.09
08/25/2020, $9.1, 403577, $9.11, $9.1334, $9.05
08/24/2020, $9.13, 209017, $9.11, $9.13, $9.1
08/21/2020, $9.08, 597626, $9.13, $9.14, $9.07
08/20/2020, $9.12, 930722, $9.09, $9.13, $9.08
08/19/2020, $9.1, 224376, $9.08, $9.1125, $9.08
08/18/2020, $9.08, 492185, $9.1, $9.11, $9.08
08/17/2020, $9.1, 228844, $9.09, $9.1, $9.07
08/14/2020, $9.06, 130890, $9.08, $9.0918, $9.06
08/13/2020, $9.07, 203786, $9.04, $9.105, $9.04
08/12/2020, $9.12, 187744, $9.13, $9.15, $9.12
08/11/2020, $9.11, 1147884, $9.1, $9.155, $9.1
08/10/2020, $9.1, 742339, $9.03, $9.1, $9.03
08/07/2020, $9.03, 756388, $9.05, $9.0699, $9.02
08/06/2020, $9.04, 1183059, $9.07, $9.09, $9.04
08/05/2020, $9.06, 1610578, $9.03, $9.08, $9.0211
08/04/2020, $9.01, 516470, $8.99, $9.03, $8.99
08/03/2020, $8.99, 590939, $8.96, $9, $8.95
07/31/2020, $8.94, 193714, $8.98, $8.98, $8.93
07/30/2020, $8.94, 179897, $8.9, $8.96, $8.88
07/29/2020, $8.93, 652844, $8.91, $8.94, $8.86
07/28/2020, $8.88, 485426, $8.89, $8.89, $8.85
07/27/2020, $8.85, 246138, $8.94, $8.94, $8.85
07/24/2020, $8.89, 164709, $8.93, $8.94, $8.88
07/23/2020, $8.93, 211301, $8.96, $8.9699, $8.92
07/22/2020, $8.93, 138576, $8.92, $8.97, $8.92
07/21/2020, $8.97, 116541, $8.93, $8.97, $8.9
07/20/2020, $8.93, 69753, $8.92, $8.94, $8.905
07/17/2020, $8.92, 168356, $8.86, $8.92, $8.83
07/16/2020, $8.86, 178091, $8.85, $8.9, $8.84
07/15/2020, $8.89, 242881, $8.82, $8.9, $8.81
07/14/2020, $8.82, 214786, $8.72, $8.85, $8.72
07/13/2020, $8.9, 238983, $8.92, $8.95, $8.9
07/10/2020, $8.91, 257416, $8.86, $8.92, $8.85
07/09/2020, $8.86, 145876, $8.97, $8.9748, $8.86
07/08/2020, $8.94, 148026, $8.96, $8.98, $8.94
07/07/2020, $8.96, 231526, $8.95, $9.02, $8.94
07/06/2020, $9, 194174, $8.99, $9.03, $8.96
07/02/2020, $8.93, 217402, $9, $9, $8.92
07/01/2020, $8.92, 161093, $8.9, $8.99, $8.9
06/30/2020, $8.9, 149160, $8.84, $8.91, $8.8056
06/29/2020, $8.81, 233428, $8.78, $8.84, $8.73
