Date, Close/Last, Volume, Open, High, Low
01/20/2021, $25.74, N/A, $25.74, $25.74, $25.74
01/19/2021, $25.74, 1210, $25.78, $25.78, $25.74
01/15/2021, $25.865, 650, $25.97, $25.98, $25.865
01/14/2021, $25.8078, 1508, $25.9, $25.9, $25.74
01/13/2021, $26, 982, $25.86, $26, $25.86
01/12/2021, $25.734, N/A, $25.734, $25.734, $25.734
01/11/2021, $25.734, N/A, $25.734, $25.734, $25.734
01/08/2021, $25.734, 287, $25.62, $25.734, $25.62
01/07/2021, $25.62, 6649, $25.71, $25.99, $25.5
01/06/2021, $25.7653, 564, $25.71, $25.7653, $25.71
01/05/2021, $25.9971, 436, $25.73, $25.9971, $25.73
01/04/2021, $25.74, 2098, $25.818, $25.855, $25.71
12/31/2020, $25.71, 2732, $25.73, $25.88, $25.71
12/30/2020, $25.73, 120, $25.73, $25.73, $25.73
12/29/2020, $25.74, 184, $25.74, $25.74, $25.74
12/28/2020, $25.78, 2038, $25.6, $25.81, $25.6
12/24/2020, $25.75, N/A, $25.75, $25.75, $25.75
12/23/2020, $25.75, 2922, $25.79, $25.79, $25.61
12/22/2020, $25.77, 979, $25.6, $25.77, $25.6
12/21/2020, $25.7634, 1255, $25.705, $25.7634, $25.655
12/18/2020, $25.71, 4667, $25.45, $25.71, $25.45
12/17/2020, $25.41, 1050, $25.6, $25.6, $25.41
12/16/2020, $25.6, 2629, $25.66, $25.7155, $25.6
12/15/2020, $25.63, 148, $25.63, $25.63, $25.63
12/14/2020, $25.8, 1873, $25.6, $25.95, $25.6
12/11/2020, $26, 810, $25.92, $26, $25.92
12/10/2020, $25.8, 1237, $25.6623, $25.9143, $25.6
12/09/2020, $25.85, 166, $25.85, $25.85, $25.85
12/08/2020, $25.61, 2982, $25.57, $25.76, $25.5
12/07/2020, $25.8, N/A, $25.8, $25.8, $25.8
12/04/2020, $25.8, N/A, $25.8, $25.8, $25.8
12/03/2020, $25.8, 1766, $25.8, $25.8, $25.8
12/02/2020, $25.75, N/A, $25.75, $25.75, $25.75
12/01/2020, $25.75, 615, $25.87, $25.87, $25.75
11/30/2020, $25.8981, 400, $25.8981, $25.8981, $25.8981
11/27/2020, $25.75, N/A, $25.75, $25.75, $25.75
