Date, Close/Last, Volume, Open, High, Low
03/24/2021, $125.85, 887468, $129.33, $129.93, $121.66
03/23/2021, $129.93, 429848, $131.08, $132.5, $129.54
03/22/2021, $131.41, 353304, $131.98, $133.025, $130.37
03/19/2021, $131.42, 883911, $126.96, $132.75, $126.1
03/18/2021, $127.39, 649809, $130.59, $131.83, $127.3
03/17/2021, $132, 619083, $128.35, $133.04, $128.19
03/16/2021, $130.34, 575426, $129.6, $131.3, $127.51
03/15/2021, $128.42, 504082, $129.16, $130.155, $126.24
03/12/2021, $128.4, 416250, $125.59, $128.63, $124.42
03/11/2021, $127.54, 533024, $124.57, $127.76, $124
03/10/2021, $122.24, 616779, $120.64, $123.04, $119.5759
03/09/2021, $119.95, 794332, $120.4, $121.43, $118.105
03/08/2021, $116.17, 541296, $120.55, $123.0622, $115.5
03/05/2021, $120.53, 693993, $121.34, $121.55, $112.485
03/04/2021, $120.36, 713801, $129.23, $129.71, $119.25
03/03/2021, $129.11, 658236, $134.93, $135.3, $128.67
03/02/2021, $135.95, 583380, $141.77, $142.37, $134.857
03/01/2021, $140.2, 596600, $138.37, $140.9332, $134.34
02/26/2021, $136.15, 708797, $134.77, $136.76, $129.75
02/25/2021, $133.1, 619282, $133.62, $135.27, $130.3
02/24/2021, $136.3, 850594, $126.02, $136.33, $125.4864
02/23/2021, $127.02, 871254, $129.16, $129.16, $123.37
02/22/2021, $131.32, 693304, $139.41, $140, $130.37
02/19/2021, $140.46, 664476, $139.67, $142.9, $137.88
02/18/2021, $139.51, 914935, $142.16, $144.33, $136.18
02/17/2021, $144.04, 2204302, $156.19, $156.19, $137.0052
02/16/2021, $165.99, 468720, $171.96, $172.87, $164.88
02/12/2021, $170.81, 292544, $172.27, $172.32, $167.89
02/11/2021, $171.37, 366968, $165.69, $171.85, $165.29
02/10/2021, $164.45, 438167, $164.69, $167.44, $163.57
02/09/2021, $163.62, 427608, $156.31, $164.78, $155.0001
02/08/2021, $155.98, 446569, $155.92, $156.1, $149.475
02/05/2021, $155.1, 241034, $154, $155.27, $152.62
02/04/2021, $152.89, 466765, $150.67, $154.4, $148.96
02/03/2021, $150.02, 521536, $154.28, $155.805, $147.97
02/02/2021, $153.88, 441885, $155.52, $157.83, $153.08
02/01/2021, $153.73, 498200, $152.4, $154.87, $150.0601
01/29/2021, $150.05, 412035, $154, $154.065, $149.61
01/28/2021, $153.69, 385825, $155.83, $157.95, $152.83
01/27/2021, $155.19, 563238, $155.03, $161.97, $151.3
01/26/2021, $157.49, 269726, $157.7, $158.12, $153.26
