Date, Close/Last, Volume, Open, High, Low
01/20/2021, $42.63, 8106458, $42.34, $42.705, $42.31
01/19/2021, $42.07, 7311763, $41.98, $42.16, $41.86
01/15/2021, $41.8, 8718434, $42.07, $42.24, $41.63
01/14/2021, $41.92, 7271801, $42.27, $42.38, $41.91
01/13/2021, $42.29, 14465740, $42.19, $42.39, $42.04
01/12/2021, $42.14, 9904613, $42.07, $42.27, $41.825
01/11/2021, $42.07, 8445566, $41.98, $42.4, $41.83
01/08/2021, $42.35, 9466942, $42.25, $42.385, $42.14
01/07/2021, $42.12, 12790650, $41.95, $42.22, $41.88
01/06/2021, $41.79, 11635330, $41.85, $42.045, $41.57
01/05/2021, $42.01, 12402410, $42.06, $42.205, $41.8
01/04/2021, $41.99, 14711390, $42.21, $42.41, $41.675
12/31/2020, $42.24, 5930418, $42.26, $42.345, $42.06
12/30/2020, $42.33, 4216358, $42.34, $42.48, $42.23
12/29/2020, $42.24, 7651836, $42.48, $42.51, $42.0841
12/28/2020, $42.31, 14472030, $42.88, $42.88, $42.27
12/24/2020, $42.65, 6679678, $42.83, $43.07, $42.595
12/23/2020, $42.56, 9547688, $42.95, $43.0399, $42.55
12/22/2020, $42.88, 11810770, $42.57, $43.01, $42.57
12/21/2020, $42.57, 10338390, $42.52, $42.8, $42.44
12/18/2020, $42.79, 13763140, $42.66, $42.91, $42.52
12/17/2020, $42.54, 16639670, $42.65, $42.91, $42.43
12/16/2020, $42.61, 15261950, $42.1, $42.68, $42.08
12/15/2020, $42.08, 19388930, $42.3, $42.31, $41.96
12/14/2020, $42.26, 12767200, $42.33, $42.44, $42.165
12/11/2020, $42.24, 23635200, $42.35, $42.41, $42.1
12/10/2020, $42.32, 29339150, $42.19, $42.63, $42.13
12/09/2020, $42.09, 35506650, $43.05, $43.11, $42.05
12/08/2020, $43.03, 35251580, $42.94, $43.105, $42.8
12/07/2020, $42.68, 44472130, $42.96, $43.27, $42.68
12/04/2020, $42.8, 62908600, $42.71, $43.14, $42.66
12/03/2020, $42.51, 80517260, $43, $43.22, $42.48
12/02/2020, $42.71, 128034600, $43.3, $43.34, $42.23
12/01/2020, $43.84, 31946340, $42.81, $44.15, $42.79
11/30/2020, $42.88, 70699850, $43.5, $43.67, $41.75
11/27/2020, $40.67, 47930380, $38.49, $40.9, $37.5
11/25/2020, $40.7, 141249000, $29.55, $40.99, $29.45
11/24/2020, $29.58, 9358738, $29.85, $30.14, $29.205
11/23/2020, $29.93, 10274260, $29.5, $30.58, $29.34
11/20/2020, $29.24, 20659630, $28.1, $30, $28.06
11/19/2020, $27.73, 9113475, $26.6, $27.76, $26.56
11/18/2020, $26.56, 7736578, $26.87, $27.14, $26.13
11/17/2020, $26.74, 7975200, $26.22, $26.75, $25.89
11/16/2020, $26.07, 7785691, $25.51, $26.265, $25.2
11/13/2020, $25.75, 6939445, $26.28, $26.375, $25.44
11/12/2020, $25.89, 8479996, $25.55, $26.16, $25.4
11/11/2020, $25.17, 13145350, $24.6, $25.43, $24.45
11/10/2020, $24.1, 20179970, $25.59, $25.93, $24.09
11/09/2020, $25.79, 12447050, $25.6, $27.0399, $25.21
11/06/2020, $27.05, 5992957, $27.36, $27.55, $26.7311
11/05/2020, $27.45, 8392929, $26.87, $27.46, $26.2822
11/04/2020, $26.13, 8035477, $26.12, $26.49, $25.6
11/03/2020, $25.38, 7136224, $25.25, $25.66, $24.85
11/02/2020, $25.05, 10692510, $25.89, $25.89, $24.57
10/30/2020, $25.58, 11589130, $26.49, $26.63, $25.48
10/29/2020, $26.74, 7607814, $26.78, $26.83, $26.17
10/28/2020, $26.58, 11314010, $27.5, $27.62, $26.47
10/27/2020, $27.93, 7595575, $28.07, $28.46, $27.8
10/26/2020, $27.75, 9524586, $28.65, $29.15, $27.17
10/23/2020, $28.76, 7972044, $28.6, $29.02, $28.09
10/22/2020, $28.62, 8252326, $28.72, $29.19, $28.18
10/21/2020, $28.87, 19603250, $29.24, $29.38, $28.34
10/20/2020, $30.81, 9689220, $32.34, $32.4748, $30.72
10/19/2020, $32.25, 9679271, $32.5, $32.9, $32.01
10/16/2020, $32.25, 8544139, $32.87, $33.09, $32.115
10/15/2020, $32.57, 12829360, $32.13, $32.9827, $31.46
10/14/2020, $32.73, 14626760, $32.84, $33.27, $31.935
10/13/2020, $32.42, 10917020, $32.05, $32.51, $31.87
10/12/2020, $31.79, 12315870, $31.79, $32.1, $31.13
10/09/2020, $31, 14954970, $30.2, $31.66, $30.03
10/08/2020, $29.99, 6990505, $29.62, $30.06, $29.535
10/07/2020, $29.44, 14660020, $28.76, $30.53, $28.7201
10/06/2020, $28.45, 8941974, $28.1, $29.1, $28.04
10/05/2020, $28.28, 11827960, $28, $28.68, $27.67
10/02/2020, $27.79, 9304750, $27.28, $28.12, $27.23
10/01/2020, $27.92, 10879430, $27.19, $27.97, $26.87
