Date, Close/Last, Volume, Open, High, Low
01/20/2021, $1.13, 2783754, $1.16, $1.17, $1.08
01/19/2021, $1.11, 2247069, $1.11, $1.13, $1.06
01/15/2021, $1.12, 1531215, $1.13, $1.14, $1.06
01/14/2021, $1.12, 1796012, $1.07, $1.13, $1.06
01/13/2021, $1.08, 906495, $1.1039, $1.1039, $1.06
01/12/2021, $1.08, 1348599, $1.13, $1.13, $1.07
01/11/2021, $1.1, 4161179, $1.03, $1.12, $1.01
01/08/2021, $1.05, 1152346, $1.05, $1.065, $1
01/07/2021, $1.06, 999508, $1.04, $1.06, $1.03
01/06/2021, $1.02, 2342321, $0.99, $1.08, $0.99
01/05/2021, $0.9978, 1135744, $0.97, $1, $0.9516
01/04/2021, $0.9672, 2313653, $1.01, $1.02, $0.93
12/31/2020, $1.01, 2322309, $1, $1.03, $1
12/30/2020, $1, 1196462, $1.01, $1.02, $1
12/29/2020, $1.02, 1683908, $1.04, $1.0498, $1.01
12/28/2020, $1.04, 1334391, $1.0955, $1.0955, $1.03
12/24/2020, $1.05, 575065, $1.07, $1.09, $1.04
12/23/2020, $1.07, 3904841, $1.04, $1.17, $1.03
12/22/2020, $1.05, 1077293, $1.05, $1.08, $1.04
12/21/2020, $1.07, 1420477, $1.04, $1.08, $1.03
12/18/2020, $1.03, 1130369, $1.07, $1.07, $1.03
12/17/2020, $1.07, 1108767, $1.05, $1.08, $1.04
12/16/2020, $1.06, 1435496, $1.08, $1.09, $1.04
12/15/2020, $1.06, 1212981, $1.083, $1.1, $1.05
12/14/2020, $1.1, 1368159, $1.11, $1.12, $1.08
12/11/2020, $1.06, 1297859, $1.08, $1.08, $1.05
12/10/2020, $1.08, 977082, $1.08, $1.095, $1.06
12/09/2020, $1.08, 1915464, $1.11, $1.14, $1.05
12/08/2020, $1.11, 3963995, $1.04, $1.17, $1.04
12/07/2020, $1.04, 1931229, $1.08, $1.08, $1.02
12/04/2020, $1.09, 3145328, $1.09, $1.11, $1.03
12/03/2020, $1.08, 2155911, $1.13, $1.14, $1.06
12/02/2020, $1.12, 1649718, $1.14, $1.15, $1.095
12/01/2020, $1.13, 2508132, $1.21, $1.21, $1.11
11/30/2020, $1.19, 3758533, $1.2, $1.25, $1.15
11/27/2020, $1.19, 1876706, $1.16, $1.235, $1.14
11/25/2020, $1.17, 1725893, $1.21, $1.22, $1.15
11/24/2020, $1.2, 4654109, $1.12, $1.23, $1.1
