Date, Close/Last, Volume, Open, High, Low
01/20/2021, $10.7, 352230, $10.7, $10.71, $10.55
01/19/2021, $10.7, 239644, $10.8, $10.84, $10.62
01/15/2021, $10.73, 430151, $11.02, $11.04, $10.66
01/14/2021, $10.87, 689011, $10.85, $10.99, $10.76
01/13/2021, $10.7, 339565, $10.68, $10.72, $10.62
01/12/2021, $10.52, 441453, $10.63, $10.75, $10.49
01/11/2021, $10.5, 218997, $10.42, $10.52, $10.4
01/08/2021, $10.4, 264919, $10.42, $10.5301, $10.33
01/07/2021, $10.36, 199227, $10.26, $10.38, $10.26
01/06/2021, $10.26, 239649, $10.4, $10.4299, $10.25
01/05/2021, $10.43, 323365, $10.5, $10.5, $10.35
01/04/2021, $10.48, 312470, $10.45, $10.59, $10.37
12/31/2020, $10.41, 178276, $10.43, $10.5, $10.31
12/30/2020, $10.4, 359746, $10.6, $10.61, $10.3
12/29/2020, $10.55, 472437, $10.7, $10.71, $10.4301
12/28/2020, $10.6, 663270, $10.85, $11.07, $10.45
12/24/2020, $10.5, 225962, $10.5, $10.6051, $10.4
12/23/2020, $10.37, 228227, $10.44, $10.515, $10.3
12/22/2020, $10.32, 141428, $10.5, $10.5999, $10.27
12/21/2020, $10.3, 174623, $10.29, $10.4, $10.25
12/18/2020, $10.23, 91983, $10.34, $10.41, $10.2
12/17/2020, $10.2, 115487, $10.16, $10.28, $10.16
12/16/2020, $10.14, 355044, $10.16, $10.25, $10.1
12/15/2020, $10.11, 193825, $10.25, $10.3, $10.07
12/14/2020, $10.16, 368698, $10.59, $10.59, $10.15
12/11/2020, $10.15, 119447, $10.25, $10.9, $10
