Date, Close/Last, Volume, Open, High, Low
01/20/2021, $104, 759174, $105.11, $105.29, $103.42
01/19/2021, $104.26, 1247483, $104.61, $105.42, $103.34
01/15/2021, $103.5, 1060174, $104.78, $104.94, $102.2
01/14/2021, $105.53, 916496, $105.9, $106.39, $104.61
01/13/2021, $105.21, 1132833, $106.21, $106.21, $104.265
01/12/2021, $105.83, 1292256, $106.24, $107.62, $105.07
01/11/2021, $106.02, 1285147, $106.55, $107.4, $105.11
01/08/2021, $107.38, 1632213, $105.87, $108.84, $104.5203
01/07/2021, $108.48, 1539319, $105.62, $108.68, $104.5
01/06/2021, $103.77, 1015259, $101.25, $104.66, $100.81
01/05/2021, $99.57, 1005240, $99.74, $101.43, $99.29
01/04/2021, $99.69, 814728, $102.03, $102.28, $98.2
12/31/2020, $101.79, 504241, $100.78, $101.87, $100.51
12/30/2020, $100.78, 418174, $99.95, $101.15, $99.65
12/29/2020, $99.51, 501894, $101.18, $101.63, $99.06
12/28/2020, $100.37, 408580, $101.44, $101.61, $100.02
12/24/2020, $100.25, 249747, $100.31, $100.48, $99.31
12/23/2020, $99.73, 593282, $100.53, $100.75, $99.38
12/22/2020, $99.4, 1060324, $100.55, $100.55, $98.35
12/21/2020, $100.72, 1023738, $98.3, $101.27, $97.63
12/18/2020, $100.05, 1774636, $99.84, $100.64, $98.79
12/17/2020, $99.75, 964817, $99.56, $100.29, $98.71
12/16/2020, $99.02, 891789, $100, $100.365, $98.455
12/15/2020, $99.77, 902568, $97.47, $99.99, $97.19
12/14/2020, $97.14, 682442, $99.26, $99.54, $97.06
12/11/2020, $98.48, 730827, $97.4, $98.78, $97.32
12/10/2020, $98.21, 706910, $97.83, $98.6, $96.975
12/09/2020, $98.53, 1111098, $98.98, $99.415, $97.73
12/08/2020, $98.63, 813805, $97.73, $99.33, $97.57
12/07/2020, $98.2, 868709, $98.65, $98.99, $97.41
12/04/2020, $98.41, 886185, $97.58, $99.39, $97.48
12/03/2020, $96.75, 1314346, $96.49, $97.97, $96.29
12/02/2020, $96.14, 737140, $96.23, $96.8, $95.14
12/01/2020, $97.07, 1026091, $97.52, $98.245, $96.965
11/30/2020, $95.97, 1498848, $96.82, $97.12, $95.06
11/27/2020, $97.14, 453278, $97.36, $98.155, $96.53
11/25/2020, $96.69, 900785, $97.43, $97.7, $96.17
11/24/2020, $97.52, 1151086, $96.14, $98.59, $95.8
11/23/2020, $94.7, 540665, $95.35, $95.89, $94
11/20/2020, $94.38, 637872, $94.56, $95.42, $93.66
11/19/2020, $94.37, 774588, $94.81, $95.195, $93.6
11/18/2020, $94.98, 636147, $96.03, $96.49, $94.67
11/17/2020, $95.95, 730898, $96.83, $97.07, $95.01
11/16/2020, $97.39, 1000870, $96.59, $97.84, $95.43
11/13/2020, $94.99, 640719, $92.51, $95.23, $92.51
11/12/2020, $92.36, 546289, $93.29, $93.63, $91.37
11/11/2020, $93.8, 935977, $95.89, $96.34, $93.105
11/10/2020, $95.11, 1016815, $94.14, $96.48, $94.032
11/09/2020, $93.53, 1052951, $98.04, $99.06, $93.43
11/06/2020, $91.08, 518776, $90.68, $91.845, $90.55
11/05/2020, $90.82, 1063142, $88.99, $91.58, $87.91
11/04/2020, $86.78, 1043975, $90.42, $90.98, $85.58
11/03/2020, $91.61, 973146, $89.45, $92.02, $89.45
11/02/2020, $88.59, 1017757, $88.84, $90.24, $87.67
10/30/2020, $87.14, 851689, $87.04, $88.0126, $85.64
10/29/2020, $86.86, 1265768, $87.1, $88.5, $84.14
10/28/2020, $87.35, 950616, $87.44, $88.49, $86.86
10/27/2020, $89.06, 736410, $89.76, $90.295, $88.63
10/26/2020, $90.07, 486371, $90.28, $90.83, $89.01
10/23/2020, $91.59, 731826, $91.59, $91.79, $90.49
10/22/2020, $90.86, 1261316, $91.13, $91.65, $90.41
10/21/2020, $90.77, 883701, $91.48, $92.3, $90.49
10/20/2020, $91.48, 778830, $91.2, $92.38, $90.59
10/19/2020, $90.42, 779657, $91.05, $91.59, $89.9
10/16/2020, $91.52, 1506271, $91.12, $92.66, $90.7
10/15/2020, $90.97, 532109, $89.93, $91.465, $89.44
10/14/2020, $90.82, 776850, $90.34, $91.52, $89.96
10/13/2020, $89.89, 768678, $91.51, $92.31, $89.67
10/12/2020, $91.87, 775269, $90.99, $93.145, $90.815
10/09/2020, $90.59, 722143, $90.55, $91.27, $89.81
10/08/2020, $89.83, 560668, $89.07, $89.865, $88.055
10/07/2020, $88.2, 600464, $87.25, $88.82, $87.132
10/06/2020, $86.51, 598949, $87.24, $88.6, $85.92
10/05/2020, $86.32, 424657, $85.13, $86.52, $85
10/02/2020, $84.43, 611413, $80.95, $85.02, $80.95
10/01/2020, $82.56, 698997, $84.5, $84.98, $81.9092
09/30/2020, $84.12, 879948, $83.88, $85.16, $83.42
09/29/2020, $83.77, 891596, $84.39, $84.39, $83.3
09/28/2020, $83.86, 806786, $84.21, $84.97, $83.66
09/25/2020, $83.06, 850664, $81.69, $83.28, $81.15
09/24/2020, $82.2, 1038834, $82.26, $83.22, $81.425
09/23/2020, $82.43, 915861, $83.95, $84.55, $82.335
09/22/2020, $83.93, 1069378, $83.21, $84.09, $82.72
09/21/2020, $83.46, 1420663, $83.72, $84, $82.31
09/18/2020, $85.59, 1915160, $85.84, $87.26, $85.42
09/17/2020, $85.85, 1071743, $84.29, $86.27, $83.315
09/16/2020, $85.21, 1228014, $84.6, $87.64, $83.88
09/15/2020, $84.41, 792170, $84.5, $85.6, $84.07
09/14/2020, $84.21, 1155076, $85.07, $85.35, $83.49
09/11/2020, $84.55, 781550, $82.58, $84.8725, $82.07
09/10/2020, $82.02, 854288, $83.5, $83.86, $81.75
09/09/2020, $83.41, 800942, $82.01, $84.47, $81.73
09/08/2020, $81.35, 827173, $81.52, $82.5, $80.05
09/04/2020, $81.87, 891711, $82.74, $83.08, $81.27
09/03/2020, $81.66, 954033, $83.58, $83.92, $80.88
09/02/2020, $83.18, 912902, $81.94, $83.59, $81.513
09/01/2020, $81.73, 633462, $80.38, $81.79, $79.72
08/31/2020, $80.18, 890786, $81.98, $81.99, $80.1
08/28/2020, $81.98, 484919, $81.36, $82.06, $80.555
08/27/2020, $81.21, 578706, $80.97, $81.73, $80.4301
08/26/2020, $80.7, 530972, $80.44, $81.23, $80.305
08/25/2020, $80.94, 679954, $81.65, $81.9356, $80.25
08/24/2020, $81.4, 635285, $79.58, $81.42, $79.47
08/21/2020, $79.4, 536817, $79.5, $79.89, $78.84
08/20/2020, $79.38, 590391, $78.64, $79.535, $78.405
08/19/2020, $79.38, 555632, $79.35, $80.31, $79.04
08/18/2020, $79.33, 464632, $79.2, $79.91, $78.86
08/17/2020, $79.22, 458974, $79.59, $79.9, $78.86
08/14/2020, $79.62, 406143, $78.77, $80.05, $78.77
08/13/2020, $79.48, 510805, $79.53, $80.01, $79.21
08/12/2020, $80.1, 887058, $80.95, $81.47, $79.88
08/11/2020, $80.3, 942373, $80.18, $81.43, $79.74
08/10/2020, $79, 959190, $77.54, $79.24, $77.3
08/07/2020, $77.15, 864848, $75.72, $77.15, $75.5001
08/06/2020, $75.79, 731042, $75.77, $76.36, $75.08
08/05/2020, $76.03, 953782, $74.01, $76.17, $74.01
08/04/2020, $73.79, 696378, $73.64, $73.9, $72.57
08/03/2020, $73.62, 858882, $73.35, $74.09, $72.67
07/31/2020, $72.98, 1391978, $74.1, $74.72, $71.87
07/30/2020, $74.67, 1304810, $76.29, $77.01, $73.2
07/29/2020, $77.17, 1196541, $74.92, $77.36, $74.86
07/28/2020, $74.34, 774831, $75.11, $75.505, $74.12
07/27/2020, $75.26, 935827, $74.24, $75.36, $73.87
07/24/2020, $74.25, 998597, $73.87, $75.01, $73.87
07/23/2020, $74.61, 872637, $74.53, $75.76, $74.115
07/22/2020, $74.42, 780080, $74.65, $75.46, $74.305
07/21/2020, $74.43, 960024, $74.24, $75.47, $74.15
07/20/2020, $74.17, 748447, $74.24, $74.63, $73.72
07/17/2020, $74.25, 1044754, $75.1, $75.1, $74.02
07/16/2020, $74.75, 1704123, $74.84, $77.3, $74.44
07/15/2020, $74.98, 1843822, $74.32, $75.39, $73.675
07/14/2020, $73.33, 2442101, $70.73, $73.397, $69.275
07/13/2020, $67.34, 1019937, $67.09, $68.52, $66.6443
07/10/2020, $66.51, 1301736, $66.65, $67.13, $65.89
07/09/2020, $66.52, 1336346, $65.48, $66.92, $64.84
07/08/2020, $65.74, 1003183, $65.98, $66.58, $65.11
07/07/2020, $66.09, 1056193, $66.42, $67.61, $65.89
07/06/2020, $67.15, 1171279, $66.83, $67.53, $66.49
07/02/2020, $65.42, 1294477, $64.63, $66.19, $64.45
07/01/2020, $63.65, 873622, $65.03, $65.26, $63.63
06/30/2020, $64.96, 1183902, $63.95, $65.34, $63.915
06/29/2020, $64.26, 1007186, $63.68, $64.42, $63.065
06/26/2020, $63.16, 4669583, $62.09, $63.18, $61.7
06/25/2020, $62.16, 1797740, $62, $62.22, $60.92
06/24/2020, $62.45, 1979622, $63.62, $63.78, $61.975
06/23/2020, $64.25, 1318224, $66.07, $66.2021, $64.21
06/22/2020, $65.33, 1213953, $64.96, $65.72, $63.67
06/19/2020, $65.29, 2080385, $67.72, $67.96, $65.25
06/18/2020, $66.41, 970295, $66.33, $66.8599, $65.65
06/17/2020, $67.07, 952347, $67.19, $67.87, $66.69
06/16/2020, $66.9, 1422255, $67.51, $68.32, $66.105
06/15/2020, $64.52, 1443283, $62.21, $65.06, $61.88
06/12/2020, $64.16, 1607502, $65.59, $66.09, $62.37
06/11/2020, $63.8, 2020845, $66.2, $66.2, $63.67
06/10/2020, $68.51, 1184229, $70.01, $70.19, $67.865
