Date, Close/Last, Volume, Open, High, Low
03/24/2021, $3.77, 456911, $4.07, $4.07, $3.73
03/23/2021, $3.98, 349339, $4.05, $4.16, $3.93
03/22/2021, $4.08, 277734, $4.18, $4.23, $4.03
03/19/2021, $4.09, 427248, $4.24, $4.34, $4.06
03/18/2021, $4.22, 357735, $4.25, $4.31, $4.14
03/17/2021, $4.28, 513089, $3.92, $4.37, $3.88
03/16/2021, $4.06, 670326, $4.41, $4.5, $4
03/15/2021, $4.37, 1239273, $4.5, $4.775, $4.31
03/12/2021, $4.49, 736506, $4.24, $4.49, $4.21
03/11/2021, $4.4, 976097, $4, $4.4, $3.95
03/10/2021, $4, 538674, $3.86, $4.05, $3.74
03/09/2021, $3.82, 734071, $4, $4.12, $3.76
03/08/2021, $3.96, 595041, $3.69, $4, $3.6073
03/05/2021, $3.67, 797620, $3.93, $3.9499, $3.3001
03/04/2021, $3.86, 1049181, $3.78, $3.96, $3.5
03/03/2021, $3.89, 572115, $3.98, $4.09, $3.78
03/02/2021, $3.96, 542919, $4.1, $4.3, $3.95
03/01/2021, $4.04, 640212, $3.99, $4.15, $3.9
02/26/2021, $3.74, 744437, $3.99, $4.15, $3.74
02/25/2021, $3.93, 582245, $4.24, $4.3, $3.87
02/24/2021, $4.26, 710046, $4.15, $4.4, $4.1011
02/23/2021, $4.2, 1790604, $4.05, $4.29, $3.6
02/22/2021, $4.34, 1927951, $4.35, $4.43, $4.03
02/19/2021, $4.45, 1156373, $4.36, $4.52, $4.25
02/18/2021, $4.31, 822477, $4.35, $4.51, $4.21
02/17/2021, $4.35, 970376, $4.65, $4.65, $4.22
02/16/2021, $4.63, 1829658, $5.01, $5.1, $4.52
02/12/2021, $4.96, 4061961, $4.84, $6.3, $4.68
02/11/2021, $4.87, 3739712, $6.42, $6.5, $4.82
02/10/2021, $6.29, 4123798, $6.7, $6.83, $5.6033
02/09/2021, $5.9, 2329340, $5.95, $6.1, $5.54
02/08/2021, $5.46, 1465909, $5.01, $5.46, $5
02/05/2021, $4.88, 1441043, $5.12, $5.2499, $4.81
02/04/2021, $5.13, 3527884, $4.59, $5.44, $4.53
02/03/2021, $4.43, 1951368, $4.2, $4.58, $4.11
02/02/2021, $4.14, 1597616, $4, $4.22, $3.75
02/01/2021, $3.91, 979073, $3.52, $3.97, $3.45
01/29/2021, $3.5, 590011, $3.46, $3.72, $3.41
01/28/2021, $3.49, 586419, $3.61, $3.78, $3.49
01/27/2021, $3.63, 737899, $3.55, $3.88, $3.5
01/26/2021, $3.7, 960154, $3.51, $3.84, $3.47
01/25/2021, $3.48, 850495, $3.73, $3.83, $3.41
01/22/2021, $3.73, 501546, $3.77, $3.86, $3.67
01/21/2021, $3.8, 548061, $3.97, $3.975, $3.7
01/20/2021, $3.91, 481080, $3.7, $3.96, $3.65
01/19/2021, $3.75, 1284059, $3.9, $4, $3.54
01/15/2021, $3.94, 1746551, $4.2, $4.35, $3.85
01/14/2021, $3.94, 2389787, $3.55, $4.06, $3.54
01/13/2021, $3.61, 1577031, $3.45, $3.66, $3.36
01/12/2021, $3.4, 859599, $3.49, $3.6, $3.34
01/11/2021, $3.36, 1865446, $3.21, $3.74, $3.18
01/08/2021, $3.24, 1868640, $2.99, $3.24, $2.89
01/07/2021, $2.9, 1430426, $2.97, $3.02, $2.85
01/06/2021, $2.77, 1416940, $2.88, $2.94, $2.73
01/05/2021, $2.68, 588248, $2.74, $2.7529, $2.63
01/04/2021, $2.69, 1779259, $2.96, $3.04, $2.5
12/31/2020, $2.95, 405267, $3, $3.03, $2.87
12/30/2020, $2.94, 519356, $2.92, $3.07, $2.92
12/29/2020, $2.97, 907300, $3, $3.08, $2.85
12/28/2020, $3.01, 1127097, $3.19, $3.29, $2.92
12/24/2020, $3.12, 990399, $3.39, $3.41, $3.04
12/23/2020, $3.36, 7822183, $2.6, $3.49, $2.58
12/22/2020, $2.88, 2395875, $2.91, $3.03, $2.76
12/21/2020, $2.92, 1594332, $2.56, $3, $2.55
12/18/2020, $2.62, 463031, $2.67, $2.7, $2.58
12/17/2020, $2.6, 677273, $2.71, $2.73, $2.56
12/16/2020, $2.73, 342098, $2.75, $2.77, $2.65
12/15/2020, $2.74, 564632, $2.61, $2.74, $2.58
12/14/2020, $2.63, 458931, $2.76, $2.78, $2.63
12/11/2020, $2.76, 503213, $2.78, $2.82, $2.66
12/10/2020, $2.81, 408698, $2.77, $2.83, $2.6909
12/09/2020, $2.77, 1281110, $2.93, $2.97, $2.6
