aaoi, low risk, neg, *
abio, low risk, pos, ***
acad, low risk, pos, ***
acer, low risk, neg, **
acrs, high risk, neg, *
acrx, low risk, pos, *
adpt, low risk, pos, **
aeye, medium risk, pos, *
agrx, low risk, neg, *
agtc, low risk, pos, ***
airt, high risk, pos, *
airtp, medium risk, pos, *
alny, high risk, neg, *
alpn, medium risk, pos, ***
ampe, medium risk, pos, ***
anda, low risk, neg, *
andau, medium risk, neg, *
apdn, low risk, pos, ***
aqms, medium risk, neg, *
aqst, low-medium risk, neg, *
ar, low risk, neg, *
arav, low risk, neg, **
artl, low risk, neg, **
arwr, low risk, neg, *
asys, high risk, neg, *
atec, medium risk, pos, ***
ati, medium risk, pos, **
atrc, high risk, pos, *
atrs, low risk, pos, ***
ayx, medium risk, neg, *
bhvn, high risk, neg, *
bl, high risk, pos, **
blbd, high risk, neg, *
bmra, high risk, pos, **
bynd, medium risk, neg, *
cbli, low risk, pos, **
ccxi, high risk, neg, *
cdlx, high risk, pos, **
celc, medium risk, neg, *
celh, high risk, pos, **
cers, low risk, neg, *
cga, low risk, neg, *
cgc, high risk, neg, *
cjjd, low risk, pos, ***
ckpt, medium risk, pos, ***
CLLS, medium risk, neg, *
CLPT, medium risk, pos, ***
CLSD, low risk, neg, *
CMRX, medium risk, pos, **
cns, high risk, neg, *
COLL, high risk, neg, *
CPLG, medium risk, pos, **
CPSH, high risk, pos, *
CREX, low risk, neg, *
CRWD, medium risk, pos, **
CSPR, medium risk, pos, **
CTIC, low risk, pos, ***
CTSO, low risk, pos, ***
CVNA, high risk, pos, ***
CYTK, medium risk, pos, ***
DCPH, medium risk, pos, **
DEN, medium risk, pos, **
DMRC, high risk, pos, **
DMTK, high risk, pos, **
DNLI, high risk, pos, **
DRRX, medium risk, neg, *
DVAX, medium risk, neg, *
DWSN, low risk, pos, ***
EPIX, medium risk, pos, *
EVER, medium risk, neg, *
EVFM, low risk, pos, ***
EXPI, high risk, pos, **
EYPT, low risk, pos, ***
FBRX, medium risk, pos, ***
FCEL, low risk, pos, ***
FOR, high risk, pos, *
FPRX, high risk, pos, *
GLUU, high risk, pos, ***
GNMK, high risk, neg, *
GTIM, low risk, pos, ***
HALO, high risk, pos, *
HCAT, high risk, pos, **
HOFV, medium risk, pos, ***
HSKA, high risk, neg, *
HUBS, high risk, pos, *
HUIZ, medium risk, pos, ***
IDT, high risk, neg, *
INDT, high risk, pos, **
ISEE, low risk, neg, *
ISNS, medium risk, pos, ***
ITCI, high risk, neg, *
KTOS, low risk, pos, ***
MACK, low risk, neg, *
MDWD, high risk, pos, **
MEIP, low risk, pos, *
MELI, high risk, pos, **
MIC, medium risk, pos, ***
MIME, medium risk, pos, *
MMYT, high risk, neg, *
MNRL, high risk, neg, *
MODN, high risk, pos, **
MOGU, low risk, neg, *
MRAM, medium risk, pos, *
MRC, medium risk, pos, ***
MRKR, low risk, neg, *
MSN, high risk, neg, *
MTSC, high risk, pos, **
MVIS, low risk, pos, ***
MYO, low risk, pos, ***
NCSM, low risk, pos, **
NDLS, medium risk, neg, *
NEPH, low risk, pos, **
NERV, low risk, pos, **
NEWR, high risk, pos, **
NGM, high risk, neg, *
NLS, high risk, pos, **
NTLA, high risk, pos, ***
NTRA, high risk, neg, *
OESX, high risk, pos, **
OIS, low risk, pos, ***
OMER, high risk, pos, **
OMI, high risk, pos, **
ONVO, low risk, neg, *
OPK, medium risk, neg, *
ORBC, high risk, neg, *
ORGO, medium risk, pos, *
OSTK, high risk, pos, **
OTRK, low risk, pos, ***
OTRKP, medium risk, pos, ***
PACB, high risk, pos, **
PBPB, low risk, neg, *
PCG, low risk, neg, *
PCGU, high risk, neg, *
PCTI, low risk, neg, *
PGEN, low risk, neg, *
PI, high risk, neg, *
PODD, high risk, pos, ***
PRTS, high risk, pos, ***
PSNL, medium risk, pos, *
PTGX, high risk, pos, **
QK, low risk, neg, *
QUOT, high risk, neg, *
QURE, medium risk, neg, *
RARE, high risk, pos, *
RCUS, high risk, pos, ***
RDFN, high risk, pos, ***
REKR, high risk, pos, ***
RLGY, medium risk, pos, ***
RRC, low risk, neg, *
RVPH, medium risk, pos, ***
SAIL, high risk, pos, *
SANW, low risk, pos, *
SBBP, low risk, pos, ***
SD, low risk, pos, ***
SEEL, low risk, pos, *
SESN, low risk, pos, *
SIBN, high risk, pos, **
SIOX, low rosk, neg, *
SNAP, high risk, pos, *
SRRA, low risk, ng, *
STAA, high risk, pos, **
SYN, low risk, neg, *
TCRR, high risk, pos, **
TGA, low risk, pos, *
THM, low risk, pos, *
TRUE, low risk, pos, ***
TTD, high risk, pos, ***
TWLO, high risk, pos, ***
UPWK, high risk, pos, ***
URG, medium risk, neg, *
VCRA, high risk, pos, **
VECO, low risk, pos, **
VERI, high risk, pos, ***
VINC, high risk, pos, ***
VINCU, high risk, pos, ***
VSTM, low risk, neg, *
VSTO, high risk, pos, **
W, high risk, pos, ***
WK, high risk, neg, *
WTER, low risk, neg, *
XAIR, low risk, pos, ***
XCUR, high risk, neg, *
XENT, medium risk, pos, *
XLRN, high risk, pos, ***
XNCR, high risk, pos, ***
XONE, high risk, pos, ***
XTLB, low risk, neg, *
YCBD, medium risk, pos, ***
YELP, high risk, pos, ***
YMAB, mediu risk, neg, *
Z, high risk, pos, **
ZG, high risk, pos, **
ZIOP, low risk, pos, **
ZYNE, low risk, neg, *













